# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	15.754000	48.150964	-1458.521080	116.540000
0.015000	19.459000	48.389334	-1458.505291	133.600000
0.020000	23.164000	48.627703	-1458.484281	150.190000
0.030000	30.337000	49.104443	-1458.427519	181.850000
0.040000	37.473000	49.581197	-1458.347136	212.370000
0.050000	44.269000	50.057936	-1458.249310	240.770000
0.060000	50.995000	50.534675	-1458.129081	268.180000
0.070000	57.595000	51.011415	-1457.985249	294.870000
0.080000	63.890000	51.488154	-1457.826299	319.470000
0.090000	70.137000	51.964908	-1457.646975	343.030000
0.100000	76.118000	52.441647	-1457.452755	364.850000
0.110000	81.940000	52.918387	-1457.239415	385.680000
0.120000	87.689000	53.395126	-1457.006819	405.640000
0.130000	93.204000	53.871865	-1456.758358	424.330000
0.140000	98.597000	54.348619	-1456.491507	442.250000
0.150000	103.817000	54.825358	-1456.209209	459.090000
0.160000	108.894000	55.302098	-1455.911442	474.970000
0.170000	113.794000	55.778837	-1455.599441	489.700000
0.180000	118.572000	56.255576	-1455.272280	503.640000
0.190000	123.140000	56.732316	-1454.930767	516.660000
0.200000	127.647000	57.209070	-1454.573399	529.236667
0.210000	131.984000	57.685809	-1454.204684	540.620000
0.220000	136.124000	58.162548	-1453.822225	551.370000
0.230000	140.158000	58.639288	-1453.428458	561.190000
0.240000	144.058000	59.116027	-1453.020455	570.550000
0.250000	147.824000	59.592781	-1452.600374	579.290000
0.260000	151.398000	60.069520	-1452.170763	587.113333
0.270000	154.887000	60.546259	-1451.728755	594.420000
0.280000	158.213000	61.022999	-1451.277125	601.040000
0.290000	161.391000	61.499738	-1450.816533	606.895000
0.300000	164.459000	61.976492	-1450.345804	612.186667
0.310000	167.322000	62.453231	-1449.866576	616.740000
0.320000	170.146000	62.929971	-1449.375688	621.240000
0.330000	172.743000	63.406710	-1448.880986	624.540000
0.340000	175.188000	63.883449	-1448.376146	627.470000
0.350000	177.532000	64.360203	-1447.865292	629.803333
0.360000	179.776000	64.836943	-1447.345966	631.850000
0.370000	181.775000	65.313682	-1446.823516	632.810000
0.380000	183.646000	65.790421	-1446.292124	633.540000
0.390000	185.512000	66.267161	-1445.754394	634.170000
0.400000	187.125000	66.743915	-1445.214612	633.740000
0.410000	188.651000	67.220654	-1444.667719	633.200000
0.420000	190.008000	67.697393	-1444.116635	632.090000
0.430000	191.232000	68.174132	-1443.561420	630.510000
0.440000	192.297000	68.650872	-1443.003228	628.450000
0.450000	193.391000	69.127626	-1442.441560	626.050000
0.460000	193.228000	69.604365	-1441.877846	622.300000
0.470000	191.836000	70.081104	-1441.314784	617.500000
0.480000	190.420000	70.557844	-1440.757445	612.585000
0.490000	189.069000	71.034583	-1440.205495	605.980000
0.500000	187.558000	71.511337	-1439.657527	597.690000
# Energy Storage Capacity at max strain 0.45 is 5.439 MJ/L or 436.970 Wh/Kg, Thickness 0.0 Ang 
# Estimated yield strength: 15.754000 GPa # Tensile_z ultimate strength: 193.391000 GPa
