# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	4.453000	47.674225	-1458.527798	81.090000
0.015000	6.660000	47.674225	-1458.520393	80.523333
0.020000	8.849000	47.674225	-1458.508661	79.946667
0.030000	13.255000	47.674225	-1458.475978	78.176667
0.040000	17.704000	47.674225	-1458.431001	75.543333
0.050000	22.113000	47.674225	-1458.372478	72.266667
0.060000	26.520000	47.674225	-1458.300198	68.420000
0.070000	30.930000	47.674225	-1458.213339	64.173333
0.080000	35.361000	47.674225	-1458.115053	58.946667
0.090000	39.750000	47.674225	-1458.005128	52.780000
0.100000	44.143000	47.674225	-1457.880892	46.120000
0.110000	48.544000	47.674225	-1457.742686	38.963333
0.120000	52.933000	47.674225	-1457.592112	31.026667
0.130000	57.310000	47.674225	-1457.428219	22.456667
0.140000	61.679000	47.674225	-1457.250481	13.393333
0.150000	66.039000	47.674225	-1457.062415	3.200000
0.160000	70.414000	47.674225	-1456.858825	-7.120000
0.170000	74.751000	47.674225	-1456.642853	-18.226667
0.180000	79.083000	47.674225	-1456.414689	-30.080000
0.190000	83.399000	47.674225	-1456.171834	-42.203333
0.200000	87.700000	47.674225	-1455.916635	-54.990000
0.210000	92.020000	47.674225	-1455.649047	-68.460000
0.220000	96.282000	47.674225	-1455.367781	-82.383333
0.230000	100.556000	47.674225	-1455.074266	-96.876667
0.240000	104.778000	47.674225	-1454.771956	-104.810000
0.250000	108.975000	47.674225	-1454.452084	-119.526667
0.260000	113.152000	47.674225	-1454.116220	-143.386667
0.270000	117.312000	47.674225	-1453.777418	-150.640000
0.280000	121.441000	47.674225	-1453.421927	-167.923333
0.290000	125.508000	47.674225	-1453.053865	-183.743333
0.300000	129.540000	47.674225	-1452.673620	-202.166667
0.310000	133.552000	47.674225	-1452.280770	-218.576667
0.320000	136.982000	47.674225	-1451.877124	-233.690000
0.330000	139.743000	47.674225	-1451.464840	-245.326667
0.340000	143.475000	47.674225	-1451.043562	-263.786667
0.350000	147.076000	47.674225	-1450.611752	-280.583333
0.360000	150.782000	47.674225	-1450.165248	-297.776667
0.370000	154.404000	47.674225	-1449.711166	-316.940000
0.380000	157.974000	47.674225	-1449.245557	-336.450000
0.390000	161.482000	47.674225	-1448.769459	-361.740000
0.400000	162.428000	47.674225	-1448.286393	-362.863333
0.410000	161.735000	47.674225	-1447.803525	-357.836667
0.420000	163.472000	47.674225	-1447.319246	-368.640000
0.430000	163.733000	47.674225	-1446.829741	-369.853333
0.440000	165.503000	47.674225	-1446.339792	-382.056667
0.450000	164.741000	47.674225	-1445.845394	-398.720000
0.460000	167.897000	47.674225	-1445.353926	-410.200000
0.470000	162.955000	47.674225	-1444.854955	-388.783333
0.480000	162.253000	47.674225	-1444.374523	-385.630000
0.490000	151.766000	47.674225	-1443.906592	-339.560000
0.500000	154.490000	47.674225	-1443.450590	-358.530000
0.510000	150.950000	47.674225	-1442.993570	-336.893333
0.520000	152.342000	47.674225	-1442.540756	-352.356667
0.530000	143.264000	47.674225	-1442.099756	-327.266667
0.540000	137.309000	47.674225	-1441.681357	-319.173333
0.550000	136.030000	47.674225	-1441.273619	-326.550000
0.560000	137.237000	47.674225	-1440.865469	-337.113333
0.570000	137.838000	47.674225	-1440.454636	-348.613333
0.580000	136.538000	47.674225	-1440.045653	-355.963333
0.590000	135.691000	47.674225	-1439.636577	-374.630000
0.600000	135.623000	47.674225	-1439.235801	-374.863333
0.610000	134.763000	47.674225	-1438.831591	-385.870000
0.620000	132.149000	47.674225	-1438.433236	-394.716667
# Energy Storage Capacity at max strain 0.46 is 4.827 MJ/L or 387.797 Wh/Kg, Thickness 0.0 Ang 
# Estimated yield strength: 5.533980 GPa # ideal_strength ultimate strength: 167.897000 GPa
