Component: Tensile_x
Strain, Stress, Mean Volume, Mean Energy, Mean External Pressure 
0.0, 0.0, 0.0, 0.0 0.0 
0.01, 15.754, 48.15096402640701, -1458.5210799640495, 116.55
0.015, 19.461000000000002, 48.389333668275015, -1458.505290823558, 133.62
0.02, 23.159000000000002, 48.62770331014303, -1458.4842810406615, 150.14
0.03, 30.333, 49.10444259387905, -1458.4275187486155, 181.81
0.04, 37.469, 49.5811966960685, -1458.3471356041573, 212.32
0.05, 44.278, 50.05793597980453, -1458.2493098187215, 240.86
0.06, 50.99700000000001, 50.53467526354056, -1458.1290810269074, 268.2
0.07, 57.592999999999996, 51.01141454727658, -1457.9852489340317, 294.85
0.08, 63.886, 51.4881538310126, -1457.8262988697502, 319.43
0.09000000000000001, 70.138, 51.964907933202056, -1457.6469745447287, 343.04
0.1, 76.111, 52.44164721693808, -1457.4527547014648, 364.78
0.11, 81.941, 52.9183865006741, -1457.2394147707087, 385.69
0.12000000000000001, 87.68700000000001, 53.395125784410126, -1457.006819239708, 405.61
0.13, 93.203, 53.87186506814615, -1456.758357832079, 424.32
0.13999999999999999, 98.601, 54.3486191703356, -1456.4915069629437, 442.29
0.15, 103.81700000000001, 54.825358454071626, -1456.2092091366235, 459.09
0.16, 108.89300000000001, 55.30209773780765, -1455.9114423118872, 474.96
0.16999999999999998, 113.79200000000002, 55.77883702154367, -1455.5994409337202, 489.68
0.18, 118.572, 56.255576305279696, -1455.2722796785972, 503.64
0.19, 123.15100000000001, 56.73231558901573, -1454.9307674052686, 516.73
0.19999999999999998, 127.64000000000001, 57.20906969120517, -1454.5733991874706, 529.19
0.21, 131.987, 57.685808974941196, -1454.204684497771, 540.65
0.22, 136.126, 58.162548258677226, -1453.8222251958277, 551.38
0.22999999999999998, 140.15200000000002, 58.63928754241325, -1453.4284576539944, 561.13
0.24, 144.059, 59.11602682614927, -1453.0204550145024, 570.57
0.25, 147.826, 59.59278092833872, -1452.600374392752, 579.315
0.26, 151.39200000000002, 60.06952021207475, -1452.1707629795062, 587.05
0.27, 154.889, 60.54625949581077, -1451.7287546664393, 594.43
0.28, 158.211, 61.022998779546796, -1451.2771246758143, 601.03
0.29000000000000004, 161.39100000000002, 61.49973806328282, -1450.8165334962437, 606.875
0.30000000000000004, 164.458, 61.97649216547228, -1450.3458038266735, 612.175
0.31, 167.32500000000002, 62.453231449208296, -1449.866576378234, 616.76
0.32, 170.149, 62.92997073294432, -1449.3756879621815, 621.26
0.33, 172.74200000000002, 63.40671001668034, -1448.8809861410753, 624.54
0.34, 175.18800000000002, 63.883449300416366, -1448.3761456258842, 627.48
0.35000000000000003, 177.53300000000002, 64.36020340260582, -1447.8652924806038, 629.82
0.36000000000000004, 179.774, 64.83694268634184, -1447.3459662054433, 631.84
0.37000000000000005, 181.776, 65.31368197007787, -1446.823516424826, 632.82
0.38, 183.644, 65.79042125381389, -1446.2921241177455, 633.52
0.39, 185.511, 66.26716053754991, -1445.7543940043918, 634.17
0.4, 187.126, 66.74391463973937, -1445.2146118796559, 633.75
0.41000000000000003, 188.64600000000002, 67.2206539234754, -1444.6677190089397, 633.15
0.42000000000000004, 190.008, 67.69739320721142, -1444.1166347668773, 632.08
0.43000000000000005, 191.233, 68.17413249094744, -1443.5614201069961, 630.51
0.44, 192.294, 68.65087177468347, -1443.0032278400931, 628.42
0.45, 193.394, 69.12762587687291, -1442.441559952267, 626.0766666666667
0.46, 193.22400000000002, 69.60436516060894, -1441.8778461302704, 622.26
0.47000000000000003, 191.83900000000003, 70.08110444434497, -1441.3147841119157, 617.53
0.48000000000000004, 190.42000000000002, 70.557843728081, -1440.7574446501674, 612.59
0.49000000000000005, 189.07100000000003, 71.03458301181702, -1440.2054949496512, 605.99

