#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
0.0	-1458.508553878125	0.01	8.848
0.0	-1458.4763058339786	0.015	13.259
0.0	-1458.4309189486191	0.02	17.71
0.0	-1458.3004067434451	0.03	26.546
0.0	-1458.1147676964854	0.04	35.421
0.0	-1457.8801749397132	0.05	44.273
0.0	-1457.5895967762547	0.06	53.148
0.0	-1457.246801440246	0.07	62.048
0.0	-1456.8524268121646	0.08	70.966
0.0	-1456.4041103985987	0.09000000000000001	79.906
0.0	-1455.9014835304831	0.1	88.875
0.0	-1455.3456573398262	0.11	97.87400000000001
0.0	-1454.7370812681875	0.12000000000000001	106.90100000000001
0.0	-1454.0768943846092	0.13	115.929
0.0	-1453.3625357338965	0.13999999999999999	125.03900000000002
0.0	-1452.5925011154238	0.15	134.109
0.0	-1451.77227203818	0.16	141.76600000000002
0.0	-1450.9108343854532	0.16999999999999998	150.122
0.0	-1449.996074006503	0.18	159.144
0.0	-1449.0285598462713	0.19	167.84300000000002
0.0	-1448.033545168824	0.19999999999999998	169.601
0.0	-1447.0357869477143	0.21	171.459
0.0	-1446.0222269781655	0.22	175.543
0.0	-1445.00795506779	0.22999999999999998	159.96500000000003
0.0	-1444.075279431264	0.24	153.651
0.0	-1443.1538130304994	0.25	151.221
0.0	-1442.2979089058801	0.26	139.168
0.0	-1441.4666577619284	0.27	140.293
0.0	-1440.627018977233	0.28	139.423
0.0	-1439.8068253201568	0.29000000000000004	134.609
0.0	-1439.0341402209965	0.30000000000000004	125.69100000000002
0.0	-1438.3221108657926	0.31	109.07600000000001
