#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
-11.329029836640709	-1461.9401922920329	0.01	17.029
-13.737364639861745	-1462.6785554384544	0.015	21.151
-17.886369715392462	-1463.9558194098288	0.02	25.162000000000003
-25.331533163340875	-1466.285121901909	0.03	32.555
-32.407259996495284	-1468.5379785090472	0.04	39.423
-38.452446723179655	-1470.5020648882924	0.05	45.643
-44.32123338429883	-1472.4457950166675	0.06	51.316
-49.72364879580918	-1474.267910753894	0.07	56.50800000000001
-54.75383940420144	-1475.9979631428748	0.08	61.209
-59.42783101769831	-1477.634037125276	0.09000000000000001	65.539
-63.25669134487753	-1478.9988244694139	0.1	69.43400000000001
-66.87484780471864	-1480.3142449967468	0.11	72.927
-70.52914724188734	-1481.665591045292	0.12000000000000001	76.10900000000001
-73.46357370412838	-1482.7690023117918	0.13	78.983
-76.23786023897125	-1483.8338241046122	0.13999999999999999	81.50200000000001
-78.7897933287496	-1484.8273822217454	0.15	83.805
-80.82959594492188	-1485.6374873859893	0.16	85.78200000000001
-82.77301253177934	-1486.4217471204793	0.16999999999999998	87.53
-84.23494155838421	-1487.021379359299	0.18	89.04700000000001
-85.6290549283428	-1487.6047356969746	0.19	90.32600000000001
-87.12017454455454	-1488.237950552848	0.19999999999999998	91.391
-88.00910375238396	-1488.6203521887228	0.21	92.31900000000002
-88.7357264031632	-1488.9407081216593	0.22	93.004
-89.5073933176725	-1489.284307726619	0.22999999999999998	93.55900000000001
-89.95351022941516	-1489.4866104767068	0.24	93.962
-90.36346957798936	-1489.6757638419977	0.25	94.206
-90.54762128883438	-1489.7611770764724	0.26	94.33300000000001
-90.55211168752359	-1489.7635508279252	0.27	94.339
-90.40113768773648	-1489.6896835123478	0.28	94.19400000000002
-90.21188359847282	-1489.5973845773967	0.29000000000000004	93.927
-89.98185358505722	-1489.4817193430008	0.30000000000000004	93.59
-89.7531601377164	-1489.3667024876293	0.31	93.132
