#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
-10.611335767916078	-1461.7105059742432	0.01	15.754
-12.365642454614862	-1462.240404423801	0.015	19.461000000000002
-15.77129529373269	-1463.2715586209379	0.02	23.159000000000002
-23.042195829580212	-1465.4904037820147	0.03	30.333
-29.941641817564552	-1467.6139422980393	0.04	37.469
-36.63673675230052	-1469.6972462909787	0.05	44.278
-44.36654915008144	-1472.1243940972151	0.06	50.99700000000001
-50.872356475934154	-1474.1841931611896	0.07	57.592999999999996
-56.83464252683294	-1476.0929082165178	0.08	63.886
-62.76063457011838	-1478.0049682854624	0.09000000000000001	70.138
-68.47671046355518	-1479.8686816222273	0.1	76.111
-74.9244539002772	-1481.9889853690033	0.11	81.941
-80.8254366669334	-1483.9461722822223	0.12000000000000001	87.68700000000001
-86.57945238786205	-1485.8731928927086	0.13	93.203
-92.26461270705957	-1487.7927198150942	0.13999999999999999	98.601
-97.46035230305856	-1489.5631339186166	0.15	103.81700000000001
-102.45103501812032	-1491.2782160441695	0.16	108.89300000000001
-107.38978027008788	-1492.990683452226	0.16999999999999998	113.79200000000002
-112.34809350980427	-1494.7242568770585	0.18	118.572
-117.42144983073568	-1496.5137308804065	0.19	123.15100000000001
-121.99197189300907	-1498.1379885869383	0.19999999999999998	127.64000000000001
-126.209521185417	-1499.6509911764274	0.21	131.987
-130.41881025464798	-1501.172352195049	0.22	136.126
-134.7105088988271	-1502.7376228618791	0.22999999999999998	140.15200000000002
-139.12931157376755	-1504.361104922733	0.24	144.059
-142.75999554804466	-1505.7056499234964	0.25	147.826
-146.4463753238891	-1507.0831443933853	0.26	151.39200000000002
-150.14585658805296	-1508.4751341620763	0.27	154.889
-153.26808221056703	-1509.6596339996527	0.28	158.211
-156.47465606268864	-1510.8861362515347	0.29000000000000004	161.39100000000002
-159.60590281897015	-1512.092457919202	0.30000000000000004	164.458
-162.99533811620606	-1513.4095575050342	0.31	167.32500000000002
-165.59528591339821	-1514.4250418700697	0.32	170.149
-167.93946685070836	-1515.3509553979964	0.33	172.74200000000002
-170.65047010144443	-1516.4269611990294	0.34	175.18800000000002
-173.08435261492917	-1517.4017727559171	0.35000000000000003	177.53300000000002
-175.0354227448003	-1518.1871751479166	0.36000000000000004	179.774
-177.06271352988878	-1519.0121416448644	0.37000000000000005	181.776
-179.63005944398876	-1520.0620197523751	0.38	183.644
-181.0368618760994	-1520.640778456063	0.39	185.511
-182.57637895815316	-1521.2811677624004	0.4	187.126
-184.47811987372162	-1522.0755832566604	0.41000000000000003	188.64600000000002
-185.87631661322408	-1522.6643382230168	0.42000000000000004	190.008
-187.07058108680764	-1523.1704998833416	0.43000000000000005	191.233
-188.1518867523471	-1523.6323854655623	0.44	192.294
-189.0796127685965	-1524.0309777575824	0.45	193.394
-189.31677730606376	-1524.1329903165436	0.46	193.22400000000002
-188.24578048815948	-1523.6647978672088	0.47000000000000003	191.83900000000003
-186.37872927332364	-1522.845342617118	0.48000000000000004	190.42000000000002
-185.47316119988466	-1522.4464978567507	0.49000000000000005	189.07100000000003
