#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
-10.611335767916078	-1461.7105059742432	0.01	15.754
-12.365642454614862	-1462.240404423801	0.015	19.459000000000003
-15.77129529373269	-1463.2715586209379	0.02	23.164
-23.042195829580212	-1465.4904037820147	0.03	30.333
-29.941641817564552	-1467.6139422980393	0.04	37.47
-36.63673675230052	-1469.6972462909787	0.05	44.275000000000006
-44.36654915008144	-1472.1243940972151	0.06	50.995000000000005
-50.87237933573701	-1474.1842004402838	0.07	57.591
-56.83464252825351	-1476.0929080809174	0.08	63.88400000000001
-62.76058885124117	-1478.004953455392	0.09000000000000001	70.14
-68.47671046355518	-1479.8686817582843	0.1	76.116
-74.92447676008005	-1481.9889929202136	0.11	81.936
-80.8254366669334	-1483.9461722822223	0.12000000000000001	87.68400000000001
-86.57945238786205	-1485.8731928927086	0.13	93.205
-92.26461270705957	-1487.7927198150942	0.13999999999999999	98.601
-97.46035230305856	-1489.5631339186166	0.15	103.81600000000002
-102.45103501812032	-1491.2782160441695	0.16	108.89100000000002
-107.3897802701243	-1492.9906834522385	0.16999999999999998	113.793
-112.34809350980427	-1494.7242568770582	0.18	118.575
-117.42144983069926	-1496.5137308803935	0.19	123.14300000000001
-121.99194903287838	-1498.13798042335	0.19999999999999998	127.64200000000001
-126.209521185417	-1499.6509913124842	0.21	131.987
-130.4188331144144	-1501.1723604945637	0.22	136.124
-134.7105088987907	-1502.737622861866	0.22999999999999998	140.158
-139.1293001443943	-1504.3611007051356	0.24	144.06
-142.75999554880957	-1505.7056499918092	0.25	147.824
-146.44638675377232	-1507.0831486792006	0.26	151.39700000000002
-150.14585658805296	-1508.4751341620763	0.27	154.89300000000003
-153.26808221056703	-1509.6596339996527	0.28	158.21
-156.4746674920619	-1510.8861406391968	0.29000000000000004	161.39000000000001
-159.60590281824165	-1512.0924578508916	0.30000000000000004	164.45600000000002
-162.9953495461257	-1513.4095619609357	0.31	167.333
-165.59528591339821	-1514.4250417340127	0.32	170.144
-167.9394439909055	-1515.3509463501507	0.33	172.73900000000003
-170.65047010144443	-1516.4269611990294	0.34	175.19000000000003
-173.08436785500416	-1517.4017788786032	0.35000000000000003	177.53300000000002
-175.0354227448003	-1518.1871750572122	0.36000000000000004	179.769
-177.06269829006877	-1519.0121354315763	0.37000000000000005	181.779
-179.63008230379157	-1520.0620291403654	0.38	183.64300000000003
-181.03686187752	-1520.6407783205937	0.39	185.506
-182.57633323923952	-1521.2811487145898	0.4	187.132
-184.47814273352452	-1522.0755929847953	0.41000000000000003	188.651
-185.87636233282979	-1522.664357407173	0.42000000000000004	190.007
-187.07055822700477	-1523.1704900191496	0.43000000000000005	191.231
-188.15186389221645	-1523.6323756692582	0.44	192.293
-189.0796127685965	-1524.0309777575824	0.45	193.394
-189.3167658761805	-1524.13298535044	0.46	193.231
-188.24578048815948	-1523.6647979352372	0.47000000000000003	191.83900000000003
-186.37876356304614	-1522.8453577195455	0.48000000000000004	190.418
-185.4732069195643	-1522.4465179933425	0.49000000000000005	189.06300000000002
