#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
0.0	-1458.5277983897258	0.01	4.453
0.0	-1458.5203925134788	0.015	6.66
0.0	-1458.5086608642644	0.02	8.849
0.0	-1458.475978072712	0.03	13.255000000000003
0.0	-1458.4310007642168	0.04	17.704
0.0	-1458.3724782123074	0.05	22.113
0.0	-1458.300197759923	0.06	26.52
0.0	-1458.2133393916413	0.07	30.930000000000003
0.0	-1458.115052645155	0.08	35.361000000000004
0.0	-1458.0051277659527	0.09000000000000001	39.75
0.0	-1457.8808915064778	0.1	44.143
0.0	-1457.7426855965139	0.11	48.544000000000004
0.0	-1457.5921124698266	0.12000000000000001	52.93300000000001
0.0	-1457.4282185937436	0.13	57.31
0.0	-1457.2504809198783	0.13999999999999999	61.679
0.0	-1457.062414979202	0.15	66.039
0.0	-1456.8588246195661	0.16	70.414
0.0	-1456.6428533014519	0.16999999999999998	74.751
0.0	-1456.414688602083	0.18	79.08300000000001
0.0	-1456.1718341933317	0.19	83.399
0.0	-1455.9166347451444	0.19999999999999998	87.7
0.0	-1455.6490473088684	0.21	92.02000000000001
0.0	-1455.3677808398138	0.22	96.28200000000001
0.0	-1455.0742655689614	0.22999999999999998	100.556
0.0	-1454.7719559830498	0.24	104.778
0.0	-1454.4520839353138	0.25	108.97500000000001
0.0	-1454.1162195686616	0.26	113.152
0.0	-1453.7774175957397	0.27	117.312
0.0	-1453.4219267828662	0.28	121.44100000000002
0.0	-1453.0538650759686	0.29000000000000004	125.508
0.0	-1452.6736197839193	0.30000000000000004	129.54000000000002
0.0	-1452.2807703545914	0.31	133.552
0.0	-1451.8771237153921	0.32	136.982
0.0	-1451.4648404511747	0.33	139.74300000000002
0.0	-1451.0435621424997	0.34	143.475
0.0	-1450.6117522525321	0.35000000000000003	147.076
0.0	-1450.1652477097778	0.36000000000000004	150.782
0.0	-1449.7111658363042	0.37000000000000005	154.404
0.0	-1449.2455574875432	0.38	157.97400000000002
0.0	-1448.7694590548683	0.39	161.482
0.0	-1448.2863932349192	0.4	162.428
0.0	-1447.8035254685813	0.41000000000000003	161.735
0.0	-1447.3192456121935	0.42000000000000004	163.472
0.0	-1446.8297405781682	0.43000000000000005	163.733
0.0	-1446.3397922251472	0.44	165.50300000000001
0.0	-1445.8453943099835	0.45	164.741
0.0	-1445.3539264272506	0.46	167.89700000000002
0.0	-1444.854954593863	0.47000000000000003	162.955
0.0	-1444.3745233359348	0.48000000000000004	162.25300000000001
0.0	-1443.9065919502862	0.49000000000000005	151.76600000000002
0.0	-1443.450589587178	0.5	154.49
0.0	-1442.9935698806735	0.51	150.95000000000002
0.0	-1442.5407557861456	0.52	152.342
0.0	-1442.0997561995332	0.53	143.264
0.0	-1441.6813570833308	0.54	137.309
0.0	-1441.273619074666	0.55	136.03
0.0	-1440.865468904055	0.56	137.237
0.0	-1440.4546363247175	0.5700000000000001	137.83800000000002
0.0	-1440.0456529411567	0.5800000000000001	136.538
0.0	-1439.6365773109628	0.5900000000000001	135.691
0.0	-1439.235800929828	0.6	135.62300000000002
0.0	-1438.831590606558	0.61	134.763
