#Volume (Å³)	Bulk_Modulus (GPa)	Bp	Stress (GPa)
47.6742	-inf	nan	13.2590
47.6742	-inf	nan	17.7100
47.6742	-inf	nan	26.5460
47.6742	-inf	nan	35.4210
47.6742	-inf	nan	44.2730
47.6742	-inf	nan	53.1480
47.6742	-inf	nan	62.0480
47.6742	-inf	nan	70.9660
47.6742	-inf	nan	79.9060
47.6742	-inf	nan	88.8750
47.6742	-inf	nan	97.8740
47.6742	-inf	nan	106.9010
47.6742	-inf	nan	115.9290
47.6742	-inf	nan	125.0390
47.6742	-inf	nan	134.1090
47.6742	-inf	nan	141.7660
47.6742	-inf	nan	150.1220
47.6742	-inf	nan	159.1440
47.6742	-inf	nan	167.8430
47.6742	-inf	nan	169.6010
47.6742	-inf	nan	171.4590
47.6742	inf	inf	175.5430
47.6742	inf	nan	159.9650
47.6742	inf	nan	153.6510
47.6742	inf	nan	151.2210
47.6742	inf	-inf	139.1680
47.6742	-inf	nan	140.2930
47.6742	inf	-inf	139.4230
47.6742	inf	nan	134.6090
47.6742	inf	nan	125.6910
47.6742	inf	nan	109.0760
