#Volume (Å³)	Bulk_Modulus (GPa)	Bp	Stress (GPa)
49.1152	-406.1188	1.8883	21.1510
49.6003	-398.5448	2.7074	25.1620
50.5776	-367.3679	4.0617	32.5550
51.5644	-340.4639	4.2342	39.4230
52.5608	-312.3426	4.3956	45.6430
53.5668	-288.0559	4.3873	51.3160
54.5822	-264.7720	4.4567	56.5080
55.6072	-243.9401	4.4919	61.2090
56.6417	-224.2490	4.9877	65.5390
57.6858	-203.2798	5.2565	69.4340
58.7394	-185.3173	5.0278	72.9270
59.8025	-169.6512	5.4819	76.1090
60.8752	-152.4462	5.9610	78.9830
61.9574	-137.4865	6.0915	81.5020
63.0492	-123.1363	6.9744	83.8050
64.1504	-108.0862	7.3748	85.7820
65.2612	-95.5625	7.9232	87.5300
66.3816	-82.5443	9.3359	89.0470
67.5115	-69.7902	9.6356	90.3260
68.6509	-59.8266	10.6737	91.3910
69.7998	-48.8555	14.2610	92.3190
70.9583	-37.8536	15.5059	93.0040
72.1263	-29.4975	19.8466	93.5590
73.3039	-20.0975	30.4289	93.9620
74.4910	-11.6234	50.2281	94.2060
75.6876	-4.2199	1370.5951	94.3330
76.8938	4.3757	1497.0454	94.3390
78.1094	13.1540	-47.5485	94.1940
79.3347	19.4621	-21.5060	93.9270
80.5694	25.8079	-14.8333	93.5900
81.8137	30.1137	-9.4014	93.1320
