#Volume (Å³)	Bulk_Modulus (GPa)	Bp	Stress (GPa)
48.3893	-750.6986	1.0411	19.4610
48.6277	-746.8486	1.1559	23.1590
49.1044	-736.9581	1.5183	30.3330
49.5812	-725.1328	1.9296	37.4690
50.0579	-710.2244	1.4264	44.2780
50.5347	-705.6993	1.5679	50.9970
51.0114	-689.5657	2.1816	57.5930
51.4882	-677.4236	1.8576	63.8860
51.9649	-666.2559	2.3357	70.1380
52.4416	-649.1690	1.9943	76.1110
52.9184	-642.4720	1.6041	81.9410
53.3951	-630.6759	2.3042	87.6870
53.8719	-616.6354	2.3491	93.2030
54.3486	-604.9921	2.3469	98.6010
54.8254	-591.7937	2.5699	103.8170
55.3021	-578.5536	2.5617	108.8930
55.7788	-566.2250	2.7295	113.7920
56.2556	-552.1843	2.8474	118.5720
56.7323	-539.5410	2.4227	123.1510
57.2091	-530.1548	2.9861	127.6400
57.6858	-513.4062	3.7775	131.9870
58.1625	-498.0680	3.1097	136.1260
58.6393	-487.8825	2.8176	140.1520
59.1160	-475.7837	3.8820	144.0590
59.5928	-458.3078	4.1772	147.8260
60.0695	-444.9717	3.5787	151.3920
60.5463	-433.0091	4.2721	154.8890
61.0230	-416.1305	4.6062	158.2110
61.4997	-402.9279	4.8967	161.3910
61.9765	-385.7060	5.0463	164.4580
62.4532	-372.7628	4.9587	167.3250
62.9300	-357.5242	7.0923	170.1490
63.4067	-335.0955	7.1653	172.7420
63.8834	-320.9942	5.3129	175.1880
64.3602	-309.5519	7.1820	177.5330
64.8369	-288.5258	10.6080	179.7740
65.3137	-265.0966	7.6926	181.7760
65.7904	-257.7166	6.1858	183.6440
66.2672	-241.9972	11.3916	185.5110
66.7439	-219.4477	12.2823	187.1260
67.2207	-203.1823	12.6098	188.6460
67.6974	-183.6781	15.4745	190.0080
68.1741	-163.4500	11.6336	191.2330
68.6509	-155.5904	43.1242	192.2940
69.1276	-67.4215	-1273.5444	193.3940
69.6044	113.5157	-955.2859	193.2240
70.0811	206.0953	-33.3882	191.8390
70.5578	204.8332	1.8893	190.4200
71.0346	201.0022	2.8399	189.0710
