# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	8.894611	47.674277	-69.791398	3.210000
0.020000	17.775119	47.674277	-69.711709	-0.640000
0.030000	26.667355	47.674277	-69.578968	-7.030000
0.040000	35.566954	47.674277	-69.393006	-15.943333
0.050000	44.488514	47.674277	-69.153735	-27.383333
0.060000	53.411823	47.674277	-68.861552	-41.266667
0.070000	62.352230	47.674277	-68.515720	-57.626667
0.080000	71.308230	47.674277	-68.116542	-76.370000
0.090000	80.282840	47.674277	-67.663764	-97.476667
0.100000	89.278899	47.674277	-67.157329	-120.936667
0.110000	98.290836	47.674277	-66.597149	-146.606667
0.120000	107.321917	47.674277	-65.982839	-174.490000
0.130000	116.370284	47.674277	-65.314600	-204.440000
0.140000	125.432633	47.674277	-64.591977	-236.416667
0.150000	134.497885	47.674277	-63.815124	-270.303333
0.160000	143.552311	47.674277	-62.983726	-305.906667
0.170000	152.570010	47.674277	-62.151504	-352.936667
0.180000	159.439301	47.674277	-61.225644	-374.326667
0.190000	162.124027	47.674277	-60.233826	-395.660000
0.200000	160.586392	47.674277	-59.291865	-345.423333
0.210000	168.914618	47.674277	-58.358339	-412.400000
0.220000	176.947187	47.674277	-57.339803	-446.646667
0.230000	183.687501	47.674277	-56.271861	-497.106667
0.240000	162.428172	47.674277	-55.109045	-325.613333
0.250000	143.639148	47.674277	-54.395790	-365.233333
0.260000	136.679996	47.674277	-53.580550	-365.823333
0.270000	138.072508	47.674277	-52.758693	-373.630000
0.280000	135.792218	47.674277	-51.947504	-383.216667
0.290000	133.872898	47.674277	-51.135413	-394.546667
0.300000	123.136564	47.674277	-50.366532	-400.630000
0.310000	107.341362	47.674277	-49.678571	-394.693333
0.320000	92.919998	47.674277	-49.063410	-395.753333
#Estimated yield strength using 0.002 and yield strength using linearity method are:  8.89 GPa and  107.34 GPa 
#The Shear ultimate strength is: 183.69 GPa 
#Energy Storage Capacity at max strain 0.230 is 2.641 MJ/L or 212.134 Wh/Kg
