# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	8.155627	48.151020	-69.806488	40.870000
0.020000	15.691733	48.627763	-69.772428	75.640000
0.030000	23.053727	49.104506	-69.716089	108.800000
0.040000	30.244045	49.581248	-69.638031	140.410000
0.050000	37.262583	50.057991	-69.538655	170.540000
0.060000	44.107760	50.534734	-69.418932	199.220000
0.070000	50.785931	51.011477	-69.278997	226.550000
0.080000	57.292909	51.488219	-69.119407	252.530000
0.090000	63.633658	51.964962	-68.940459	277.230000
0.100000	69.807727	52.441705	-68.743241	300.690000
0.110000	75.815059	52.918448	-68.527645	322.940000
0.120000	81.661782	53.395191	-68.294509	344.070000
0.130000	87.338812	53.871933	-68.044142	364.040000
0.140000	92.854275	54.348676	-67.777080	382.930000
0.150000	98.207513	54.825419	-67.493799	400.780000
0.160000	103.403243	55.302162	-67.195144	417.630000
0.170000	108.439993	55.778904	-66.881051	433.510000
0.180000	113.316877	56.255647	-66.552173	448.440000
0.190000	118.037591	56.732390	-66.208855	462.450000
0.200000	122.607552	57.209133	-65.852081	475.610000
0.210000	127.021665	57.685875	-65.481772	487.900000
0.220000	131.284271	58.162618	-65.098574	499.370000
0.230000	135.394821	58.639361	-64.702650	510.030000
0.240000	139.355384	59.116104	-64.294811	519.910000
0.250000	143.172001	59.592847	-63.875889	529.070000
0.260000	146.835471	60.069589	-63.445331	537.470000
0.270000	150.356832	60.546332	-63.004326	545.190000
0.280000	153.731549	61.023075	-62.552904	552.210000
0.290000	156.961268	61.499818	-62.091724	558.560000
0.300000	160.049889	61.976560	-61.621099	564.280000
0.310000	162.992859	62.453303	-61.141551	569.350000
0.320000	165.794416	62.930046	-60.653480	573.820000
0.330000	168.454444	63.406789	-60.157111	577.690000
0.340000	170.975256	63.883532	-59.653179	580.990000
0.350000	173.350764	64.360274	-59.141895	583.690000
0.360000	175.586184	64.837017	-58.623850	585.850000
0.370000	177.684367	65.313760	-58.099334	587.510000
0.380000	179.636741	65.790503	-57.568708	588.600000
0.390000	181.438209	66.267245	-57.032417	589.100000
0.400000	183.089224	66.743988	-56.491233	589.060000
0.410000	184.615150	67.220731	-55.945178	588.720000
0.420000	185.975403	67.697474	-55.394974	587.710000
0.430000	187.187612	68.174216	-54.840709	586.270000
0.440000	188.235027	68.650959	-54.283113	584.250000
0.450000	189.137953	69.127702	-53.722872	581.920000
0.460000	189.855984	69.604445	-53.159982	578.970000
0.470000	190.350378	70.081188	-52.595410	575.420000
0.480000	190.222232	70.557930	-52.029769	571.040000
0.490000	188.434241	71.034673	-51.466902	565.090000
0.500000	185.063910	71.511416	-50.911970	557.910000
0.510000	181.534180	71.988159	-50.368004	550.490000
0.520000	179.119422	72.464901	-49.832708	543.800000
#Estimated yield strength using 0.002 and yield strength using linearity method are:  8.16 GPa and  181.53 GPa 
#The Tensile_y ultimate strength is: 190.35 GPa 
#Energy Storage Capacity at max strain 0.470 is 5.592 MJ/L or 449.216 Wh/Kg
