#Strain	Work Hardening Rate
0.01	753.6105804
0.02	744.9050139500001
0.03	727.61560795
0.04	710.4427845999999
0.05	693.1857518999997
0.060000000000000005	676.1673902500004
0.06999999999999999	659.2574614000005
0.08	642.3863598999999
0.09	625.7408704000006
0.09999999999999999	609.0700788999999
0.11	592.7027706499997
0.12	576.1876036499998
0.13	559.6246566999996
0.14	543.4350762499998
0.15000000000000002	527.4483943499997
0.16	511.62400325000044
0.17	495.6817228999998
0.18000000000000002	479.8798849499998
0.19	464.5337211
0.2	449.20369635000014
0.21000000000000002	433.83597160000016
0.22	418.6578123500001
0.23	403.55564225000046
0.24000000000000002	388.85898920000005
0.25	374.0043189999996
0.26	359.24155029999946
0.27	344.8039391500001
0.28	330.22179594999955
0.29000000000000004	315.91698575000095
0.3	301.5795775000021
0.31	287.22636690000036
0.32	273.0792326499992
0.33	259.04198154999966
0.34	244.81598939999833
0.35000000000000003	230.5463828499979
0.36000000000000004	216.68015435000183
0.37	202.52786310000099
0.38	187.69210404999922
0.39	172.6241381000007
0.4	158.84704010000078
0.41000000000000003	144.30898850000048
0.42000000000000004	128.62311589999987
0.43	112.9811878499995
0.44	97.51705910000075
0.45	81.04784319999958
0.46	60.62123454999829
0.47000000000000003	18.31239629999997
0.48000000000000004	-95.80684154999962
0.49	-257.9161153500001
0.5	-345.0030492999997
0.51	-352.97296340000025
