# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	4.448096	47.674277	-69.811273	4.153333
0.020000	8.893605	47.674277	-69.791387	3.210000
0.030000	13.339688	47.674277	-69.758253	1.616667
0.040000	17.767020	47.674277	-69.711701	-0.640000
0.050000	22.204316	47.674277	-69.651981	-3.513333
0.060000	26.640147	47.674277	-69.579119	-7.020000
0.070000	31.071546	47.674277	-69.492865	-11.160000
0.080000	35.501198	47.674277	-69.393347	-15.910000
0.090000	39.937381	47.674277	-69.280632	-21.290000
0.100000	44.357944	47.674277	-69.154674	-27.290000
0.110000	48.773457	47.674277	-69.015590	-33.900000
0.120000	53.182973	47.674277	-68.863314	-41.106667
0.130000	57.585855	47.674277	-68.697783	-48.916667
0.140000	61.981065	47.674277	-68.518962	-57.323333
0.150000	66.366924	47.674277	-68.327142	-66.313333
0.160000	70.741979	47.674277	-68.122209	-75.876667
0.170000	75.105770	47.674277	-67.904103	-86.006667
0.180000	79.456221	47.674277	-67.673000	-96.706667
0.190000	83.793012	47.674277	-67.428837	-107.986667
0.200000	88.114175	47.674277	-67.171810	-119.773333
0.210000	92.416507	47.674277	-66.901617	-132.113333
0.220000	96.697100	47.674277	-66.618723	-144.950000
0.230000	100.956273	47.674277	-66.322869	-158.303333
0.240000	105.191339	47.674277	-66.014172	-172.166667
0.250000	109.400405	47.674277	-65.692799	-186.566667
0.260000	113.579170	47.674277	-65.358736	-201.410000
0.270000	117.725370	47.674277	-65.012162	-216.713333
0.280000	121.835765	47.674277	-64.652993	-232.470000
0.290000	125.907424	47.674277	-64.281383	-248.670000
0.300000	129.936355	47.674277	-63.897596	-265.306667
0.310000	133.917958	47.674277	-63.501617	-282.350000
0.320000	137.833335	47.674277	-63.093531	-299.726667
0.330000	141.708331	47.674277	-62.685340	-300.856667
0.340000	145.514603	47.674277	-62.288544	-345.000000
0.350000	149.265838	47.674277	-61.849950	-363.853333
0.360000	152.870624	47.674277	-61.376119	-346.170000
0.370000	155.234922	47.674277	-60.940801	-387.126667
0.380000	153.346807	47.674277	-60.483447	-378.236667
0.390000	156.457759	47.674277	-60.023040	-389.613333
0.400000	159.333751	47.674277	-59.552770	-405.660000
0.410000	154.487211	47.674277	-59.085466	-383.400000
0.420000	157.577557	47.674277	-58.571098	-366.180000
0.430000	160.672963	47.674277	-58.147770	-418.610000
0.440000	163.640183	47.674277	-57.665200	-436.923333
0.450000	166.466729	47.674277	-57.173822	-453.833333
0.460000	169.151710	47.674277	-56.673207	-469.870000
0.470000	171.673755	47.674277	-56.167097	-494.660000
0.480000	166.296077	47.674277	-55.657608	-461.396667
0.490000	160.428421	47.674277	-55.013072	-361.706667
0.500000	164.451909	47.674277	-54.669033	-480.486667
0.510000	145.244087	47.674277	-54.245531	-398.953333
0.520000	139.652356	47.674277	-53.822411	-404.660000
0.530000	140.506900	47.674277	-53.407918	-414.093333
0.540000	139.371670	47.674277	-52.778941	-347.770000
0.550000	136.148350	47.674277	-52.582417	-404.186667
0.560000	137.169438	47.674277	-52.175486	-415.483333
0.570000	138.218320	47.674277	-51.763304	-425.460000
0.580000	138.873826	47.674277	-51.350262	-432.043333
0.590000	137.627648	47.674277	-50.940696	-437.390000
0.600000	135.940521	47.674277	-50.534797	-444.713333
0.610000	134.421725	47.674277	-50.131588	-446.270000
0.620000	131.369600	47.674277	-49.735746	-449.180000
0.630000	128.735645	47.674277	-49.347742	-451.393333
#Estimated yield strength using 0.002 and yield strength using linearity method are:  4.45 GPa and  131.37 GPa 
#The indent_strength ultimate strength is: 171.67 GPa 
#Energy Storage Capacity at max strain 0.470 is 5.043 MJ/L or 405.140 Wh/Kg
