Component: Tensile_y
Strain, Stress, Mean Volume, Mean Energy, Mean Pressure 
0.0, 0.0, 0.0, 0.0 0.0 
0.01, 8.155626936, 48.15102004, -69.80648807, 40.87
0.02, 15.69173274, 48.62776281, -69.77242759, 75.64
0.03, 23.053727215000002, 49.10450558, -69.71608875, 108.8
0.04, 30.244044899000002, 49.58124835, -69.6380311, 140.41
0.05, 37.262582907, 50.05799113, -69.53865532, 170.54
0.060000000000000005, 44.107759937, 50.5347339, -69.41893172, 199.22
0.06999999999999999, 50.785930712, 51.01147667, -69.2789968, 226.55
0.08, 57.292909165000005, 51.48821944, -69.1194066, 252.53
0.09, 63.633657910000004, 51.96496222, -68.94045878, 277.23
0.09999999999999999, 69.80772657300001, 52.44170499, -68.74324132, 300.69
0.11, 75.815059488, 52.91844776, -68.52764533, 322.94
0.12, 81.66178198600001, 53.39519053, -68.29450897, 344.07
0.13, 87.338811561, 53.87193331, -68.04414221, 364.04
0.14, 92.85427512000001, 54.34867608, -67.77708014, 382.93
0.15000000000000002, 98.207513086, 54.82541885, -67.4937995, 400.78
0.16, 103.403243007, 55.30216163, -67.19514433, 417.63
0.17, 108.43999315100001, 55.77890440000001, -66.88105141, 433.51
0.18000000000000002, 113.316877465, 56.25564717, -66.55217291, 448.44
0.19, 118.03759085, 56.73238994, -66.20885491, 462.45
0.2, 122.607551887, 57.20913271999999, -65.85208101, 475.61
0.21000000000000002, 127.02166477700001, 57.68587549, -65.48177207, 487.9
0.22, 131.284271319, 58.16261826000001, -65.09857361, 499.37
0.23, 135.394821024, 58.63936103, -64.70265, 510.03
0.24000000000000002, 139.35538416400001, 59.11610381, -64.29481124, 519.91
0.25, 143.172000808, 59.59284657999999, -63.87588868, 529.07
0.26, 146.835470544, 60.06958935, -63.4453308, 537.47
0.27, 150.356831814, 60.54633212000001, -63.00432573, 545.19
0.28, 153.731549327, 61.023074900000005, -62.55290374, 552.21
0.29000000000000004, 156.961267733, 61.49981767, -62.09172376, 558.56
0.3, 160.04988904200002, 61.97656043999999, -61.6210985, 564.28
0.31, 162.99285928300003, 62.45330321, -61.14155104, 569.35
0.32, 165.79441638000003, 62.93004599, -60.65348031, 573.82
0.33, 168.45444393600002, 63.406788760000005, -60.15711109, 577.69
0.34, 170.97525601100003, 63.88353153, -59.65317911, 580.99
0.35000000000000003, 173.350763724, 64.36027431, -59.14189484, 583.69
0.36000000000000004, 175.586183668, 64.83701708, -58.6238496, 585.85
0.37, 177.68436681100002, 65.31375985, -58.09933388, 587.51
0.38, 179.63674093, 65.79050262, -57.56870784, 588.6
0.39, 181.438208892, 66.2672454, -57.03241736, 589.1
0.4, 183.08922369200002, 66.74398817, -56.49123326, 589.06
0.41000000000000003, 184.61514969400002, 67.22073094, -55.94517831, 588.72
0.42000000000000004, 185.97540346200003, 67.69747371, -55.39497428, 587.71
0.43, 187.18761201200002, 68.17421649, -54.84070918, 586.27
0.44, 188.23502721900002, 68.65095926, -54.28311283, 584.25
0.45, 189.13795319400003, 69.12770203, -53.72287168, 581.92
0.46, 189.855984083, 69.6044448, -53.15998227, 578.97
0.47000000000000003, 190.350377885, 70.08118758, -52.59541034, 575.42
0.48000000000000004, 190.222232009, 70.55793035, -52.02976924, 571.04
0.49, 188.434241054, 71.03467312, -51.46690182, 565.09
0.5, 185.06390970200002, 71.51141589, -50.91197025, 557.91
0.51, 181.534180068, 71.98815867, -50.36800419, 550.49

