#Internal Pressure(GPa)	Enthalpy(eV)	Strain	Stress
-inf	-inf	0.01	8.89461141
-inf	-inf	0.02	17.775119031
-inf	-inf	0.03	26.6673552795
-inf	-inf	0.04	35.5669539505
-inf	-inf	0.05	44.4885136905
-inf	-inf	0.060000000000000005	53.4118231165
-inf	-inf	0.06999999999999999	62.3522296355
-inf	-inf	0.08	71.308229908
-inf	-inf	0.09	80.2828398725
-inf	-inf	0.09999999999999999	89.2788985305
-inf	-inf	0.11	98.2908355525
-inf	-inf	0.12	107.3219172995
-inf	-inf	0.13	116.37028438399999
-inf	-inf	0.14	125.43263323450002
-inf	-inf	0.15000000000000002	134.4978848495
-inf	-inf	0.16	143.5523107465
-inf	-inf	0.17	152.5700103055
-inf	-inf	0.18000000000000002	159.439300671
-inf	-inf	0.19	162.1240265605
-inf	-inf	0.2	160.58639152900003
-inf	-inf	0.21000000000000002	168.9146176995
-inf	-inf	0.22	176.9471868105
-inf	-inf	0.23	183.68750141200002
-inf	-inf	0.24000000000000002	162.42817237250003
-inf	-inf	0.25	143.63914827899998
-inf	-inf	0.26	136.67999622
-inf	-inf	0.27	138.07250844450002
-inf	-inf	0.28	135.792217658
-inf	-inf	0.29000000000000004	133.8728981375
-inf	-inf	0.3	123.136563744
-inf	-inf	0.31	107.34136247800002
