#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
0.0	-69.79139803333334	0.01	8.89461141
0.0	-69.71170902333333	0.02	17.775119031
0.0	-69.5789676	0.03	26.6673552795
0.0	-69.39300560333334	0.04	35.5669539505
0.0	-69.15373481333334	0.05	44.4885136905
0.0	-68.86155192666666	0.060000000000000005	53.4118231165
0.0	-68.51572047333333	0.06999999999999999	62.3522296355
0.0	-68.11654211333332	0.08	71.308229908
0.0	-67.66376401999999	0.09	80.2828398725
0.0	-67.15732916666667	0.09999999999999999	89.2788985305
0.0	-66.59714917000001	0.11	98.2908355525
0.0	-65.98283936666667	0.12	107.3219172995
0.0	-65.31459982666667	0.13	116.37028438399999
0.0	-64.59197667666666	0.14	125.43263323450002
0.0	-63.81512381666667	0.15000000000000002	134.4978848495
0.0	-62.98372616333333	0.16	143.5523107465
0.0	-62.151503856666665	0.17	152.5700103055
0.0	-61.22564445333333	0.18000000000000002	159.439300671
0.0	-60.2338255	0.19	162.1240265605
0.0	-59.29186459666667	0.2	160.58639152900003
0.0	-58.35833925	0.21000000000000002	168.9146176995
0.0	-57.33980254666667	0.22	176.9471868105
0.0	-56.27186072	0.23	183.68750141200002
0.0	-55.10904501666666	0.24000000000000002	162.42817237250003
0.0	-54.39578989333334	0.25	143.63914827899998
0.0	-53.580550136666666	0.26	136.67999622
0.0	-52.758693283333336	0.27	138.07250844450002
0.0	-51.94750371333333	0.28	135.792217658
0.0	-51.135412773333336	0.29000000000000004	133.8728981375
0.0	-50.36653193	0.3	123.136563744
0.0	-49.67857136	0.31	107.34136247800002
