#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
-13.357843740996609	-73.84563627796012	0.01	9.555452963
-17.373563238615535	-75.08896314638486	0.02	17.943598152000003
-25.117231635351246	-77.50902031165624	0.03	25.652802532
-32.23403154729253	-79.77680305161155	0.04	32.73631579
-38.72066535096442	-81.88373438352625	0.05	39.229512332000006
-44.67953462717722	-83.8568219242268	0.060000000000000005	45.17362734700001
-50.12431059182342	-85.69357713683424	0.06999999999999999	50.603996847000005
-55.094023294164465	-87.40215693211644	0.08	55.56128883600001
-59.62942697116056	-88.99011776423613	0.09	60.066985905
-63.69983348677573	-90.44189388366965	0.09999999999999999	64.15882860100001
-67.42381177544235	-91.79450398964045	0.11	67.860795013
-70.77407311913562	-93.03328828815854	0.12	71.190778458
-73.75578015506515	-94.15577079851968	0.13	74.182498636
-76.45700276999797	-95.19089080605326	0.14	76.861719347
-78.8289564902535	-96.11558964946713	0.15000000000000002	79.238018417
-80.92221358763508	-96.94634128406345	0.16	81.341921152
-82.78844730112148	-97.69955876206615	0.17	83.18626418000001
-84.40164093557759	-98.3620092861523	0.18000000000000002	84.787472331
-85.76583447447875	-98.93154068233125	0.19	86.15160646700001
-86.91122129399719	-99.41805042236606	0.2	87.307290138
-87.88086478002525	-99.83664414126443	0.21000000000000002	88.26444217400001
-88.66530514125407	-100.18098043524105	0.22	89.036990646
-89.26823679800718	-100.44984268923767	0.23	89.631151352
-89.7006323050204	-100.64586580797402	0.24000000000000002	90.076746256
-89.99943713582289	-100.78343767733966	0.25	90.36036940700001
-90.14177064924296	-100.84982516738489	0.26	90.50231027000001
-90.14629982088854	-100.85179171117835	0.27	90.50882286900001
-90.04210868086064	-100.80116675027543	0.28	90.39234362
-89.83047371667743	-100.6969844915161	0.29000000000000004	90.160613638
-89.49338000144982	-100.52845949876829	0.3	89.884643192
-89.28571427354463	-100.4240179894208	0.31	89.376420967
