#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
-9.607723813158454	-72.69428204676765	0.01	8.157323537000002
-11.447133050828246	-73.24988687562637	0.015	11.944233131
-15.16878577931995	-74.3768355871565	0.02	15.692272925000001
-22.581788350982016	-76.63786638805976	0.03	23.053848129000002
-29.811154875268066	-78.86446822023083	0.04	30.244517211
-36.80923558867557	-81.04051514610488	0.05	37.261281501000006
-43.62493443581719	-83.18034278624823	0.06	44.108648965
-50.32572405869963	-85.30391942796012	0.07	50.785687287
-56.8804591416729	-87.40078135575786	0.08	57.294617118
-63.20236798490729	-89.44177504528243	0.09000000000000001	63.634932588000005
-69.35954524281743	-91.448201475558	0.1	69.80859767
-75.39402885124085	-93.43236798648141	0.11	75.816848277
-81.23514125003011	-95.37046064285157	0.12000000000000001	81.66101763200001
-86.93464306627722	-97.27847150098091	0.13	87.33830898800001
-92.46468729248251	-99.14621949315621	0.13999999999999999	92.85355472700002
-97.77275135248155	-100.95469502861863	0.15	98.20518515500001
-102.95003692702254	-102.73424282527259	0.16	103.40196940700001
-108.02877755650206	-104.49485381904492	0.16999999999999998	108.43943699500001
-112.93976077078383	-106.21199484854822	0.18	113.317535707
-117.62689614204135	-107.86465191394615	0.19	118.038039729
-122.16174896565934	-109.47736832351889	0.19999999999999998	122.60850089200001
-126.60144256408645	-111.06927520288562	0.21	127.021930693
-130.90510651687578	-112.62532952148368	0.22	131.2853154
-135.04493577481526	-114.13430370095227	0.22999999999999998	135.39432709800002
-138.90885039971735	-115.55418649295538	0.24	139.35637583000002
-142.72567007990392	-116.9684649640038	0.25	143.171898488
-146.43442268877976	-118.35330481164371	0.26	146.835898842
-149.9393965340935	-119.67276231565296	0.27	150.35555056500002
-153.32992179566006	-120.95906396596571	0.28	153.730526909
-156.55669264580504	-122.19292266226742	0.29000000000000004	156.960965143
-159.64329193707295	-123.38231169881752	0.30000000000000004	160.04896336800002
-162.5749392168049	-124.52074007861695	0.31	162.99557686900002
-165.40149983592943	-125.62681235142333	0.32	165.79571616700002
-168.06644669409496	-126.67744276218653	0.33	168.454870713
-170.57237210914928	-127.67295837894963	0.34	170.97414571700003
-172.9436150728469	-128.6219279745161	0.35000000000000003	173.354075255
-175.16667213432453	-129.5182752536327	0.36000000000000004	175.586356286
-177.28027730761278	-130.37675982838218	0.37000000000000005	177.681439409
-179.25837973629234	-131.1860668125437	0.38	179.63593527900002
-181.0310973442895	-131.9165252448647	0.39	181.445548744
-182.67174011888955	-132.5976212719006	0.4	183.10819740300002
-184.188389204097	-133.23157604040327	0.41000000000000003	184.60387085600001
-185.56782509011438	-133.8124248501117	0.42000000000000004	185.981340319
-186.80981816996868	-134.3389330543507	0.43000000000000005	187.18399251900001
-187.81380126645917	-134.76750722550202	0.44	188.239223853
-188.70290038798038	-135.14983904760973	0.45	189.136151415
-189.43078195609297	-135.46476877355624	0.46	189.85574150800002
-189.89322177308784	-135.6662255126986	0.47000000000000003	190.34982122300002
-189.60645049111324	-135.53938724158985	0.48000000000000004	190.22232822900003
-187.80692944751092	-134.74284435720875	0.49000000000000005	188.4394531
-184.63107021899373	-133.32914585234863	0.5	185.06010067900002
-182.78861265187544	-132.50669423348552	0.51	181.53361826000003
