#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
-11.445352167582907	-73.24659656928928	0.01	8.155626936
-15.188453790289499	-74.38279293559827	0.02	15.69173274
-22.58064416792319	-76.6375080230573	0.03	23.053727215000002
-29.81150098642147	-78.86456939022493	0.04	30.244044899000002
-36.812011198677986	-81.04137273611039	0.05	37.262582907
-43.626560822308036	-83.18083335625158	0.060000000000000005	44.107759937
-50.32475293122889	-85.30359080795816	0.06999999999999999	50.785930712
-56.87950985618072	-87.40045956575953	0.08	57.292909165000005
-63.20145902304843	-89.44146646028457	0.09	63.633657910000004
-69.35890678530949	-91.44798119555622	0.09999999999999999	69.80772657300001
-75.39382555292951	-93.43229089148097	0.11	75.815059488
-81.23584019296412	-95.37068353284613	0.12	81.66178198600001
-86.93587293703945	-97.27887098097892	0.13	87.338811561
-92.46590372204504	-99.14661478315787	0.14	92.85427512000001
-97.7740215468748	-100.95510838861632	0.15000000000000002	98.207513086
-102.95095092933187	-102.7345333952691	0.16	103.403243007
-108.02892877012296	-104.49487968904556	0.17	108.43999315100001
-112.9391844788764	-106.21176662854688	0.18000000000000002	113.316877465
-117.62603254426395	-107.86432273394702	0.19	118.03759085
-122.16091897090858	-109.47705121351981	0.2	122.607551887
-126.60064617235548	-111.06897002288417	0.21000000000000002	127.02166477700001
-130.9042983640854	-112.62502014148217	0.22	131.284271319
-135.04424019217097	-114.1340354909535	0.23	135.394821024
-138.9084118802265	-115.55401284295698	0.24000000000000002	139.35538416400001
-142.72556927082408	-116.96841647400362	0.25	143.172000808
-146.43576512969267	-118.35379695164599	0.26	146.835470544
-149.94124974101004	-119.6734437406558	0.27	150.356831814
-153.33093996735488	-120.95942954596316	0.28	153.731549327
-156.55738150785174	-122.19316207226912	0.29000000000000004	156.961267733
-159.64339610645615	-123.38232563881797	0.3	160.04988904200002
-162.57449733701412	-124.52054215361974	0.31	162.99285928300003
-165.40080761358962	-125.62651670142532	0.32	165.79441638000003
-168.06573935038327	-126.6771412571846	0.33	168.45444393600002
-170.57169164786777	-127.67266750895129	0.34	170.97525601100003
-172.9429329314137	-128.6216364345176	0.35000000000000003	173.350763724
-175.16601855545497	-129.51799527363065	0.36000000000000004	175.586183668
-177.27978334312132	-130.3765448383811	0.37	177.68436681100002
-179.25811931283664	-131.1859473425434	0.38	179.63674093
-181.03203318859562	-131.91690030987272	0.39	181.438208892
-182.6726137975815	-132.59796718190236	0.4	183.08922369200002
-184.18809853791805	-133.23143682540322	0.41000000000000003	184.61514969400002
-185.5675260231816	-133.81228211011285	0.42000000000000004	185.97540346200003
-186.80954766560748	-134.33880246935144	0.43	187.18761201200002
-187.81361644981283	-134.76741327550164	0.44	188.23502721900002
-188.70293063070366	-135.1498377276095	0.45	189.13795319400003
-189.4305652165819	-135.4646596735604	0.46	189.855984083
-189.89289078328582	-135.6660676377023	0.47000000000000003	190.350377885
-189.60650929640923	-135.5394001815897	0.48000000000000004	190.222232009
-187.8071461870334	-134.74292703220954	0.49	188.434241054
-184.63142977137414	-133.32929210234747	0.5	185.06390970200002
-182.78905621181863	-132.50687798348284	0.51	181.534180068
