#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
0.0	-69.79142166333334	0.01	8.894022632
0.0	-69.75826342	0.015	13.3426563935
0.0	-69.71173578999999	0.02	17.774673194000002
0.0	-69.57899579000001	0.03	26.6675042255
0.0	-69.39303320333333	0.04	35.567031679
0.0	-69.15376094	0.05	44.488422242000006
0.0	-68.86157654	0.06	53.4120119305
0.0	-68.51574474333334	0.07	62.35220693849999
0.0	-68.11656587666666	0.08	71.308234621
0.0	-67.66378696666666	0.09000000000000001	80.2827135505
0.0	-67.15735116333333	0.1	89.27885094700001
0.0	-66.59716945333334	0.11	98.2910515365
0.0	-65.98285635	0.12000000000000001	107.322541736
0.0	-65.31461310333333	0.13	116.371469388
0.0	-64.59198611	0.13999999999999999	125.43224430350001
0.0	-63.81512802666666	0.15	134.4994920555
0.0	-62.983727816666665	0.16	143.552640423
0.0	-62.15150624	0.16999999999999998	152.5705887645
0.0	-61.22564222333333	0.18	159.442452526
0.0	-60.23381416666667	0.19	162.12378330850004
0.0	-59.29185721666667	0.19999999999999998	160.585765568
0.0	-58.35833409666666	0.21	168.91408938100003
0.0	-57.33980274333334	0.22	176.946750516
0.0	-56.27180944333333	0.22999999999999998	183.68375249550002
0.0	-55.10905587333334	0.24	162.42889182800002
0.0	-54.39579004666666	0.25	143.640130717
0.0	-53.58054519	0.26	136.68029172500002
0.0	-52.758688533333334	0.27	138.0720832785
0.0	-51.94750197333334	0.28	135.79158761
0.0	-51.13541428333334	0.29000000000000004	133.871551366
0.0	-50.36653750333334	0.30000000000000004	123.135503277
0.0	-49.678580579999995	0.31	107.3424068675
