#Volume (Å³)	Bulk_Modulus (GPa)	Bp	Stress (GPa)
48.3894	-760.8521	0.2201	11.9442
48.6278	-760.0270	0.6310	15.6923
49.1045	-749.4406	1.4601	23.0538
49.5812	-738.7865	1.5194	30.2445
50.0580	-727.8669	1.5871	37.2613
50.5347	-716.7935	1.6586	44.1086
51.0115	-705.4493	1.7403	50.7857
51.4882	-693.8592	1.8252	57.2946
51.9650	-682.0119	1.9072	63.6349
52.4417	-670.0054	1.9879	69.8086
52.9184	-657.8093	2.0945	75.8168
53.3952	-645.2018	2.2087	81.6610
53.8719	-632.3783	2.3055	87.3383
54.3487	-619.4119	2.3791	92.8536
54.8254	-606.5338	2.4495	98.2052
55.3022	-593.5866	2.5897	103.4020
55.7789	-580.0606	2.7522	108.4394
56.2556	-566.3176	2.8395	113.3175
56.7324	-552.8124	2.9391	118.0380
57.2091	-539.0335	3.1048	122.6085
57.6859	-524.9473	3.2661	127.0219
58.1626	-510.7162	3.4161	131.2853
58.6394	-496.3702	3.5335	135.3943
59.1161	-482.2094	3.7213	139.3564
59.5928	-467.4702	3.9669	143.1719
60.0696	-452.5701	4.1316	146.8359
60.5463	-437.8089	4.3313	150.3556
61.0231	-422.7465	4.5879	153.7305
61.4998	-407.5392	4.8321	156.9610
61.9766	-392.2498	5.1680	160.0490
62.4533	-376.4123	5.5668	162.9956
62.9300	-360.3134	5.8765	165.7957
63.4068	-344.3656	6.2032	168.4549
63.8835	-328.2467	6.7645	170.9741
64.3603	-311.3242	7.3858	173.3541
64.8370	-294.2608	7.8532	175.5864
65.3138	-277.3962	8.5630	177.6814
65.7905	-259.7235	9.6270	179.6359
66.2672	-241.3222	11.2133	181.4455
66.7440	-221.0825	12.2854	183.1082
67.2207	-202.5566	13.2579	184.6039
67.6975	-183.1886	16.2091	185.9813
68.1742	-161.4387	18.9933	187.1840
68.6510	-140.5554	23.1697	188.2392
69.1277	-117.1975	33.6448	189.1362
69.6044	-88.5979	90.1654	189.8557
70.0812	-26.9441	-1822.6910	190.3498
70.5579	141.3672	-1241.1618	190.2223
71.0347	384.5860	-102.9328	188.4395
71.5114	517.9376	-22.1713	185.0601
71.9882	532.4988	-4.1291	181.5336
