#Volume (Å³)	Bulk_Modulus (GPa)	Bp	Stress (GPa)
47.6743	-inf	nan	13.3427
47.6743	-inf	nan	17.7747
47.6743	-inf	nan	26.6675
47.6743	-inf	nan	35.5670
47.6743	-inf	nan	44.4884
47.6743	-inf	nan	53.4120
47.6743	-inf	nan	62.3522
47.6743	-inf	nan	71.3082
47.6743	-inf	nan	80.2827
47.6743	-inf	nan	89.2789
47.6743	-inf	nan	98.2911
47.6743	-inf	nan	107.3225
47.6743	-inf	nan	116.3715
47.6743	-inf	nan	125.4322
47.6743	-inf	nan	134.4995
47.6743	-inf	nan	143.5526
47.6743	-inf	nan	152.5706
47.6743	-inf	nan	159.4425
47.6743	-inf	nan	162.1238
47.6743	-inf	nan	160.5858
47.6743	-inf	nan	168.9141
47.6743	-inf	inf	176.9468
47.6743	inf	inf	183.6838
47.6743	inf	nan	162.4289
47.6743	inf	nan	143.6401
47.6743	inf	nan	136.6803
47.6743	inf	nan	138.0721
47.6743	inf	nan	135.7916
47.6743	inf	nan	133.8716
47.6743	inf	nan	123.1355
47.6743	inf	nan	107.3424
