#T(K), Kl_SlackLow(W/mK), Kl_SlackSim(W/mK), Kl_CahillLow(W/mK), Cv(J/molK), S(J/molK), S_Debye(J/molK), H(eV), mpf(µm)
10.0000 0.0002 0.0000 0.0009 0.0035 0.0012 0.0012 -0.0000 0.0004
20.0000 0.0012 0.0000 0.0037 0.0282 0.0094 0.0096 -0.0000 0.0004
30.0000 0.0041 0.0000 0.0082 0.0951 0.0317 0.0326 -0.0001 0.0004
40.0000 0.0096 0.0000 0.0146 0.2253 0.0751 0.0772 -0.0002 0.0004
50.0000 0.0188 0.0000 0.0229 0.4401 0.1467 0.1508 -0.0006 0.0004
60.0000 0.0326 0.0000 0.0329 0.7604 0.2535 0.2605 -0.0012 0.0004
70.0000 0.0517 0.0000 0.0448 1.2076 0.4025 0.4137 -0.0023 0.0004
80.0000 0.0772 0.0000 0.0585 1.8025 0.6008 0.6175 -0.0039 0.0004
90.0000 0.1099 0.0000 0.0741 2.5665 0.8555 0.8792 -0.0063 0.0004
100.0000 0.1507 0.0000 0.0915 3.5206 1.1735 1.2061 -0.0097 0.0004
110.0000 0.2004 0.0000 0.1107 4.6859 1.5620 1.6050 -0.0141 0.0004
120.0000 0.2598 0.0000 0.1317 6.0835 2.0278 2.0831 -0.0200 0.0004
130.0000 0.3295 0.0000 0.1544 7.7347 2.5782 2.6468 -0.0276 0.0004
140.0000 0.4098 0.0000 0.1788 9.6604 3.2201 3.3020 -0.0372 0.0004
150.0000 0.5008 0.0000 0.2049 11.8819 3.9606 4.0537 -0.0490 0.0004
160.0000 0.6023 0.0000 0.2324 14.4202 4.8067 4.9061 -0.0635 0.0004
170.0000 0.7140 0.0000 0.2612 17.1419 5.7623 5.8620 -0.0809 0.0004
180.0000 0.8353 0.0000 0.2913 20.0519 6.8235 6.9231 -0.1014 0.0004
190.0000 0.9651 0.0000 0.3223 23.1702 7.9903 8.0899 -0.1254 0.0004
200.0000 1.1027 0.0000 0.3541 26.4736 9.2620 9.3617 -0.1530 0.0004
210.0000 1.2470 0.0000 0.3865 29.9368 10.6368 10.7365 -0.1845 0.0004
220.0000 1.3968 0.0000 0.4193 33.5333 12.1120 12.2117 -0.2202 0.0004
230.0000 1.5511 0.0000 0.4524 37.2366 13.6840 13.7837 -0.2601 0.0004
240.0000 1.7087 0.0000 0.4855 41.0210 15.3485 15.4482 -0.3045 0.0004
250.0000 1.8687 0.0000 0.5186 44.8619 17.1008 17.2004 -0.3534 0.0004
260.0000 2.0301 0.0000 0.5514 48.7366 18.9357 19.0354 -0.4070 0.0004
270.0000 2.1920 0.0000 0.5839 52.6241 20.8479 20.9476 -0.4654 0.0004
280.0000 2.3537 0.0000 0.6159 56.5057 22.8319 22.9316 -0.5287 0.0004
290.0000 2.5145 0.0000 0.6474 60.3649 24.8822 24.9819 -0.5968 0.0004
300.0000 2.6737 0.0000 0.6783 64.1871 26.9932 27.0929 -0.6698 0.0004
310.0000 2.8308 0.0000 0.7085 67.9600 29.1596 29.2592 -0.7477 0.0004
320.0000 2.9855 0.0000 0.7380 71.6732 31.3760 31.4757 -0.8306 0.0004
330.0000 3.1373 0.0000 0.7667 75.3178 33.6375 33.7372 -0.9183 0.0004
340.0000 3.2860 0.0000 0.7946 78.8869 35.9391 36.0388 -1.0110 0.0004
350.0000 3.4313 0.0000 0.8218 82.3747 38.2764 38.3761 -1.1085 0.0004
