# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0    
0.010000	10.820724	45.141837	41.416667
0.020000	21.740030	45.128293	45.553333
0.030000	32.755229	45.105720	53.113333
0.040000	43.860443	45.074117	63.430000
0.050000	55.043812	45.033486	75.453333
0.060000	66.305932	44.983825	91.560000
0.070000	77.614702	44.925134	113.666667
0.080000	88.984308	44.857415	137.210000
0.090000	100.394002	44.780666	164.386667
0.100000	111.836158	44.694888	195.370000
0.110000	123.276552	44.600081	230.540000
0.120000	134.701350	44.496244	270.273333
0.130000	146.062832	44.383378	314.613333
0.140000	157.290626	44.261483	364.600000
0.150000	167.837843	44.130559	417.680000
0.160000	176.078928	43.990605	457.010000
0.170000	183.818209	43.841622	520.183333
0.180000	185.102290	43.683610	550.956667
0.190000	192.711362	43.516568	628.440000
0.200000	189.413047	43.340498	659.486667
0.210000	193.484601	43.155397	726.643333
0.220000	189.564675	42.961268	798.400000
0.230000	74.570672	42.758110	564.726667
# Estimated yield strength: 9.772205 GPa # Shear ultimate strength: 193.484601 GPa
