# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0    
0.010000	8.099821	46.053793	45.986667
0.020000	19.143421	46.970264	124.210000
0.030000	29.199207	47.895764	195.210000
0.040000	38.310076	48.830294	259.296667
0.050000	46.523882	49.773853	316.890000
0.060000	53.901621	50.726441	368.373333
0.070000	60.480051	51.688058	414.100000
0.080000	66.293016	52.658705	455.513333
0.090000	71.394324	53.638380	491.266667
0.100000	75.820721	54.627085	522.310000
0.110000	79.587345	55.624820	548.893333
0.120000	82.735495	56.631583	571.286667
0.130000	85.284565	57.647376	589.680000
0.140000	87.246806	58.672199	604.243333
0.150000	88.642115	59.706050	615.176667
0.160000	89.468021	60.748931	622.526667
0.170000	89.712593	61.800841	626.320000
0.180000	89.345494	62.861780	626.480000
0.190000	88.344889	63.931749	622.620000
0.200000	86.589273	65.010746	614.543333
0.210000	83.947290	66.098773	601.500000
0.220000	79.234034	67.195830	577.366667
# Estimated yield strength: 7.194348 GPa # Tensile_biaxial ultimate strength: 89.712593 GPa
