# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0    
0.010000	7.601633	45.597815	3.523333
0.020000	18.461243	46.049279	44.186667
0.030000	28.582536	46.500742	82.003333
0.040000	37.974070	46.952206	116.973333
0.050000	46.620402	47.403669	149.093333
0.060000	54.510499	47.855133	178.726667
0.070000	61.646279	48.306596	205.520000
0.080000	68.001814	48.758060	229.616667
0.090000	73.552253	49.209523	250.960000
0.100000	78.262527	49.660987	269.536667
0.110000	82.072300	50.112450	285.220000
0.120000	84.883459	50.563914	297.806667
0.130000	86.530239	51.015377	306.986667
0.140000	86.686028	51.466841	312.003333
0.150000	84.649595	51.918304	311.230000
0.160000	78.652483	52.369768	300.516667
0.170000	55.185284	52.821231	248.513333
# Estimated yield strength: 6.694758 GPa # Tensile_y ultimate strength: 86.686028 GPa
