# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0    
0.010000	5.400628	45.146352	40.286667
0.020000	10.827963	45.146352	40.973333
0.030000	16.276780	45.146352	42.126667
0.040000	21.744640	45.146352	43.776667
0.050000	27.225991	45.146352	45.930000
0.060000	32.711043	45.146352	49.173333
0.070000	38.200309	45.146352	52.526667
0.080000	43.683875	45.146352	56.436667
0.090000	49.155458	45.146352	60.943333
0.100000	54.617180	45.146352	64.420000
0.110000	60.053765	45.146352	69.730000
0.120000	65.447016	45.146352	77.906667
0.130000	70.819982	45.146352	84.753333
0.140000	76.148824	45.146352	92.216667
0.150000	81.430577	45.146352	100.300000
0.160000	86.657196	45.146352	109.013333
0.170000	91.826252	45.146352	118.406667
0.180000	96.927450	45.146352	128.490000
0.190000	101.951448	45.146352	139.233333
0.200000	106.896552	45.146352	150.700000
0.210000	111.748419	45.146352	162.903333
0.220000	116.513499	45.146352	175.980000
0.230000	121.164882	45.146352	189.746667
0.240000	125.691608	45.146352	204.183333
0.250000	130.107810	45.146352	219.716667
0.260000	134.350540	45.146352	235.560000
0.270000	138.467426	45.146352	252.860000
0.280000	142.393199	45.146352	271.336667
0.290000	146.111092	45.146352	290.606667
0.300000	149.377162	45.146352	308.873333
0.310000	151.675062	45.146352	321.586667
0.320000	154.079929	45.146352	335.106667
0.330000	156.880405	45.146352	357.740000
0.340000	159.468280	45.146352	383.676667
0.350000	161.145031	45.146352	417.280000
0.360000	85.043682	45.146352	916.650000
# Estimated yield strength: 4.895054 GPa # ideal_strength ultimate strength: 161.145031 GPa
