# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0    
0.010000	10.575128	45.141837	41.260000
0.020000	21.225655	45.128293	44.806667
0.030000	31.950217	45.105720	50.683333
0.040000	42.727258	45.074117	60.196667
0.050000	53.563660	45.033486	71.460000
0.060000	64.438383	44.983825	85.246667
0.070000	75.345695	44.925134	101.533333
0.080000	86.264951	44.857415	120.416667
0.090000	97.181597	44.780666	141.900000
0.100000	108.069448	44.694888	166.100000
0.110000	118.920695	44.600081	193.420000
0.120000	129.673256	44.496244	223.446667
0.130000	140.284331	44.383378	256.153333
0.140000	150.693775	44.261483	292.290000
0.150000	160.850246	44.130559	332.090000
0.160000	170.446080	43.990605	375.153333
0.170000	24.167191	43.841622	638.203333
# Estimated yield strength: 9.540944 GPa # Shear ultimate strength: 170.446080 GPa
