# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0    
0.010000	7.911825	46.053793	46.133333
0.020000	18.819548	46.970264	124.770000
0.030000	28.786958	47.895764	196.443333
0.040000	37.861210	48.830294	261.523333
0.050000	46.085148	49.773853	320.366667
0.060000	53.518144	50.726441	373.416667
0.070000	60.208569	51.688058	421.443333
0.080000	66.176813	52.658705	464.130000
0.090000	71.475484	53.638380	502.080000
0.100000	76.148184	54.627085	535.606667
0.110000	80.210832	55.624820	564.913333
0.120000	83.703309	56.631583	590.296667
0.130000	86.654498	57.647376	612.006667
0.140000	89.061634	58.672199	630.133333
0.150000	90.983501	59.706050	645.023333
0.160000	92.421242	60.748931	656.783333
0.170000	93.381443	61.800841	665.550000
0.180000	93.864270	62.861780	671.393333
0.190000	93.843215	63.931749	674.370000
0.200000	93.262926	65.010746	673.653333
0.210000	91.935559	66.098773	669.393333
0.220000	89.400869	67.195830	659.260000
0.230000	84.981606	68.301915	640.246667
# Estimated yield strength: 7.018778 GPa # Tensile_biaxial ultimate strength: 93.864270 GPa
