# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0    
0.010000	11.865567	46.090641	49.316667
0.020000	22.303949	46.546984	88.470000
0.030000	32.068122	47.003327	124.960000
0.040000	41.164191	47.459670	158.803333
0.050000	49.581665	47.916013	190.003333
0.060000	57.322801	48.372356	218.963333
0.070000	64.381350	48.828699	245.256667
0.080000	70.747102	49.285042	269.110000
0.090000	76.396077	49.741385	290.473333
0.100000	81.305430	50.197728	309.353333
0.110000	85.431266	50.654071	325.723333
0.120000	88.704056	51.110414	339.410000
0.130000	91.013220	51.566757	350.263333
0.140000	92.144833	52.023100	361.133333
0.150000	91.671097	52.479443	368.436667
0.160000	88.654185	52.935786	358.286667
0.170000	79.677121	53.392129	341.343333
0.180000	-33.954722	53.848472	129.563333
# Estimated yield strength: 10.872795 GPa # Tensile_x ultimate strength: 92.144833 GPa
