# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0    
0.010000	7.170862	45.597815	3.703333
0.020000	17.742263	46.049279	44.900000
0.030000	27.735789	46.500742	83.683333
0.040000	37.161174	46.952206	120.066667
0.050000	46.033282	47.403669	154.133333
0.060000	54.376974	47.855133	185.996667
0.070000	62.201463	48.306596	215.693333
0.080000	69.514358	48.758060	243.256667
0.090000	76.348363	49.209523	269.043333
0.100000	82.702193	49.660987	292.866667
0.110000	88.594013	50.112450	314.846667
0.120000	94.035452	50.563914	335.056667
0.130000	99.036255	51.015377	353.560000
0.140000	103.608758	51.466841	370.433333
0.150000	107.759110	51.918304	385.703333
0.160000	111.500081	52.369768	399.466667
0.170000	114.834093	52.821231	411.766667
0.180000	117.733361	53.272695	422.526667
0.190000	120.231827	53.724158	431.906667
0.200000	122.303459	54.175622	439.843333
0.210000	123.912434	54.627085	446.323333
0.220000	124.930932	55.078549	451.123333
0.230000	125.254963	55.530012	453.953333
0.240000	124.212247	55.981476	453.686667
0.250000	51.672462	56.432940	289.716667
# Estimated yield strength: 6.297317 GPa # Tensile_y ultimate strength: 125.254963 GPa
