# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0    
0.010000	5.283218	45.146352	40.233333
0.020000	10.594556	45.146352	40.816667
0.030000	15.928102	45.146352	41.763333
0.040000	21.281591	45.146352	43.080000
0.050000	26.650893	45.146352	44.780000
0.060000	32.028437	45.146352	46.836667
0.070000	37.400783	45.146352	50.346667
0.080000	42.781028	45.146352	53.543333
0.090000	48.153635	45.146352	57.176667
0.100000	53.514234	45.146352	61.260000
0.110000	58.855193	45.146352	65.820000
0.120000	64.174880	45.146352	70.800000
0.130000	69.465868	45.146352	76.266667
0.140000	74.722220	45.146352	82.223333
0.150000	79.936332	45.146352	88.663333
0.160000	85.103298	45.146352	95.590000
0.170000	90.216907	45.146352	103.053333
0.180000	95.267994	45.146352	111.026667
0.190000	100.263814	45.146352	119.766667
0.200000	105.160674	45.146352	128.900000
0.210000	109.982736	45.146352	138.606667
0.220000	114.697433	45.146352	148.833333
0.230000	119.328223	45.146352	159.903333
0.240000	123.812416	45.146352	171.133333
0.250000	128.196495	45.146352	183.703333
0.260000	132.400350	45.146352	196.430000
0.270000	136.468104	45.146352	210.326667
0.280000	140.319751	45.146352	224.003333
0.290000	143.979286	45.146352	240.596667
0.300000	147.381977	45.146352	257.300000
0.310000	150.468820	45.146352	275.290000
0.320000	152.791002	45.146352	293.513333
0.330000	150.853910	45.146352	316.070000
0.340000	17.614402	45.146352	592.870000
# Estimated yield strength: 4.786267 GPa # ideal_strength ultimate strength: 152.791002 GPa
