# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	11.474479	45.146352	-72.723349	-4.139333
0.015000	17.211321	45.146352	-72.681959	-4.308333
0.020000	22.946638	45.146352	-72.624031	-4.545667
0.030000	34.421446	45.146352	-72.458792	-5.214000
0.040000	45.891138	45.146352	-72.227204	-6.154000
0.050000	57.360633	45.146352	-71.929712	-7.356000
0.060000	68.828738	45.146352	-71.565907	-8.823000
0.070000	80.255360	45.146352	-71.136083	-10.551667
0.080000	91.716619	45.146352	-70.639503	-12.541000
0.090000	103.172208	45.146352	-70.076693	-14.782333
0.100000	114.623142	45.146352	-69.447820	-17.272000
0.110000	126.058589	45.146352	-68.845101	-21.431333
0.120000	137.484789	45.146352	-68.027292	-21.198000
0.130000	148.855179	45.146352	-67.295856	-27.548333
0.140000	151.173445	45.146352	-66.452463	-27.267000
0.150000	162.393577	45.146352	-65.570346	-30.552000
0.160000	173.581502	45.146352	-64.380990	-27.550000
0.170000	173.106903	45.146352	-63.640070	-33.336000
0.180000	183.817116	45.146352	-62.206923	-34.841000
0.190000	194.276064	45.146352	-61.568444	-41.374000
0.200000	182.854853	45.146352	-60.521007	-35.176333
0.210000	168.793476	45.146352	-59.523711	-30.055333
0.220000	161.685102	45.146352	-58.564942	-28.797333
0.230000	156.199254	45.146352	-57.633942	-28.718333
0.240000	149.263496	45.146352	-56.773187	-29.063000
#Estimated yield strength using 0.002 and yield strength using linearity method are:  11.47 GPa and  156.20 GPa 
#The Shear ultimate strength is: 194.28 GPa 
#Energy Storage Capacity at max strain 0.190 is 2.307 MJ/L or 181.324 Wh/Kg
