#Strain	Work Hardening Rate
0.01	1147.3683514999996
0.015	1147.2158633499998
0.02	1147.3416389666668
0.03	1147.2250008250003
0.04	1146.9593815749997
0.05	1146.880029225
0.06	1144.736320425
0.07	1144.3940221749995
0.08	1145.8424226999994
0.09000000000000001	1145.3261778500005
0.1	1144.319024975001
0.11	1143.0823270249987
0.12000000000000001	1139.8295154750008
0.13	684.4327743500011
0.13999999999999999	676.9198946000006
0.15	1120.4028542000008
0.16	535.6663004249998
0.16999999999999998	511.7807015749991
0.18	1058.4580475749992
0.19	-48.11314014999939
0.19999999999999998	-1274.1293639500007
0.21	-1058.4875617749992
0.22	-629.7111159250011
0.22999999999999998	-548.5847440000025
