# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	7.640318	46.053793	-72.749737	4.634000
0.015000	13.109571	46.510900	-72.721913	8.682000
0.020000	18.354999	46.970264	-72.678432	12.559000
0.030000	28.208330	47.895764	-72.547025	19.828000
0.040000	37.240342	48.830294	-72.358528	26.471000
0.050000	45.521514	49.773853	-72.117992	32.549000
0.060000	53.080550	50.726441	-71.827022	38.079000
0.070000	59.972346	51.688058	-71.489884	43.108000
0.080000	66.235516	52.658705	-71.109944	47.665000
0.090000	71.910651	53.638380	-70.689557	51.782000
0.100000	77.036339	54.627085	-70.232206	55.491000
0.110000	81.643393	55.624820	-69.739948	58.812000
0.120000	85.766785	56.631583	-69.215878	61.776000
0.130000	89.434084	57.647376	-68.662277	64.403000
0.140000	92.677637	58.672199	-68.081524	66.718000
0.150000	95.520910	59.706050	-67.476184	68.739000
0.160000	97.992027	60.748931	-66.848149	70.488000
0.170000	100.114513	61.800841	-66.199553	71.983000
0.180000	101.906240	62.861780	-65.532154	73.236000
0.190000	103.394045	63.931749	-64.848390	74.270000
0.200000	104.592478	65.010746	-64.149754	75.094000
0.210000	105.525653	66.098773	-63.437766	75.726000
0.220000	106.207022	67.195830	-62.714459	76.177000
0.230000	106.656546	68.301915	-61.981457	76.462000
0.240000	106.883357	69.417030	-61.240024	76.587000
0.250000	106.905403	70.541174	-60.491576	76.566000
0.260000	106.739827	71.674348	-59.737697	76.411000
0.270000	106.395508	72.816551	-58.979486	76.129000
0.280000	105.884885	73.967782	-58.218545	75.730000
0.290000	105.218856	75.128044	-57.455845	75.220000
0.300000	104.410437	76.297334	-56.692531	74.609000
#Estimated yield strength using 0.002 and yield strength using linearity method are:  7.64 GPa and  7.64 GPa 
#The Tensile_biaxial ultimate strength is: 106.91 GPa 
#Energy Storage Capacity at max strain 0.250 is 1.670 MJ/L or 131.287 Wh/Kg
