# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	6.597644	45.597815	-72.754647	3.930000
0.020000	16.917337	46.049279	-72.723324	45.780000
0.030000	26.967538	46.500742	-72.663228	85.700000
0.040000	36.732224	46.952206	-72.574943	123.620000
0.050000	46.239165	47.403669	-72.459825	159.740000
0.060000	55.478998	47.855133	-72.318244	194.080000
0.070000	64.453559	48.306596	-72.150731	226.680000
0.080000	73.163749	48.758060	-71.958150	257.590000
0.090000	81.615874	49.209523	-71.741414	286.880000
0.100000	89.813730	49.660987	-71.501331	314.640000
0.110000	97.763601	50.112450	-71.238329	340.900000
0.120000	105.463422	50.563914	-70.953207	365.700000
0.130000	112.917893	51.015377	-70.646660	389.100000
0.140000	120.129408	51.466841	-70.319485	411.140000
0.150000	127.099927	51.918304	-69.972292	431.880000
0.160000	133.838777	52.369768	-69.606060	451.390000
0.170000	140.337848	52.821231	-69.220509	469.600000
0.180000	146.612031	53.272695	-68.817214	486.660000
0.190000	152.658856	53.724158	-68.396647	502.580000
0.200000	158.487944	54.175622	-67.959367	517.430000
0.210000	164.091277	54.627085	-67.505785	531.160000
0.220000	169.478661	55.078549	-67.036766	543.860000
0.230000	174.650610	55.530012	-66.552751	555.540000
0.240000	179.616373	55.981476	-66.054747	566.280000
0.250000	184.371839	56.432940	-65.542867	576.070000
0.260000	188.920544	56.884403	-65.017739	584.920000
0.270000	193.264663	57.335867	-64.480042	592.870000
0.280000	197.409474	57.787330	-63.930578	599.960000
0.290000	201.356287	58.238794	-63.369652	606.200000
0.300000	205.104537	58.690257	-62.797764	611.610000
0.310000	208.660120	59.141721	-62.215707	616.230000
0.320000	212.019866	59.593184	-61.623865	620.060000
0.330000	215.188822	60.044648	-61.022666	623.100000
0.340000	218.164411	60.496111	-60.412912	625.380000
0.350000	220.951232	60.947575	-59.795173	626.950000
0.360000	223.538046	61.399038	-59.169684	627.760000
0.370000	225.684268	61.850502	-58.537476	627.560000
0.380000	225.688794	62.301965	-57.901422	624.580000
0.390000	222.098646	62.753429	-57.270715	617.540000
0.400000	218.950280	63.204892	-56.650920	611.030000
0.410000	218.864438	63.656356	-56.034788	607.510000
0.420000	213.657525	64.107819	-55.425021	600.810000
0.430000	209.300023	64.559283	-54.831592	595.030000
#Estimated yield strength using 0.002 and yield strength using linearity method are:  6.60 GPa and  213.66 GPa 
#The Tensile_x ultimate strength is: 225.69 GPa 
#Energy Storage Capacity at max strain 0.380 is 5.360 MJ/L or 421.285 Wh/Kg
