# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	6.597780	45.597815	-72.754647	0.393000
0.015000	11.789511	45.823547	-72.742619	2.509000
0.020000	16.920675	46.049279	-72.723324	4.581000
0.030000	26.967495	46.500742	-72.663228	8.570000
0.040000	36.731670	46.952206	-72.574943	12.361000
0.050000	46.238564	47.403669	-72.459825	15.974000
0.060000	55.478926	47.855133	-72.318244	19.408000
0.070000	64.453561	48.306596	-72.150731	22.668000
0.080000	73.163607	48.758060	-71.958150	25.759000
0.090000	81.615804	49.209523	-71.741414	28.688000
0.100000	89.813710	49.660987	-71.501331	31.464000
0.110000	97.763614	50.112450	-71.238329	34.090000
0.120000	105.463385	50.563914	-70.953207	36.570000
0.130000	112.917920	51.015377	-70.646660	38.910000
0.140000	120.129523	51.466841	-70.319485	41.115000
0.150000	127.099966	51.918304	-69.972292	43.188000
0.160000	133.838828	52.369768	-69.606060	45.139000
0.170000	140.337822	52.821231	-69.220509	46.960000
0.180000	146.609291	53.272695	-68.817213	48.665000
0.190000	152.661645	53.724158	-68.396648	50.260000
0.200000	158.485182	54.175622	-67.959367	51.741000
0.210000	164.091333	54.627085	-67.505785	53.116000
0.220000	169.478661	55.078549	-67.036766	54.386000
0.230000	174.650621	55.530012	-66.552751	55.554000
0.240000	179.616363	55.981476	-66.054747	56.628000
0.250000	184.371818	56.432940	-65.542867	57.607000
0.260000	188.920535	56.884403	-65.017739	58.492000
0.270000	193.264500	57.335867	-64.480042	59.286000
0.280000	197.409481	57.787330	-63.930578	59.996000
0.290000	201.356181	58.238794	-63.369652	60.620000
0.300000	205.104486	58.690257	-62.797764	61.161000
0.310000	208.660150	59.141721	-62.215707	61.623000
0.320000	212.019873	59.593184	-61.623865	62.006000
0.330000	215.188514	60.044648	-61.022666	62.309000
0.340000	218.164388	60.496111	-60.412912	62.538000
0.350000	220.951234	60.947575	-59.795173	62.695000
0.360000	223.538098	61.399038	-59.169684	62.776000
0.370000	225.684435	61.850502	-58.537476	62.757000
0.380000	225.688772	62.301965	-57.901422	62.458000
0.390000	222.098712	62.753429	-57.270715	61.754000
0.400000	218.950309	63.204892	-56.650920	61.103000
0.410000	218.864202	63.656356	-56.034788	60.751000
0.420000	213.657553	64.107819	-55.425021	60.082000
0.430000	209.301518	64.559283	-54.831592	59.504000
# Energy Storage Capacity at max strain 0.38 is 5.360 MJ/L or 421.284 Wh/Kg, Thickness 0.0 Ang 
# Estimated yield strength: 6.597780 GPa # Tensile_z ultimate strength: 225.688772 GPa
