# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0    
0.010000	5.740579	45.146352	40.393333
0.020000	11.473441	45.146352	41.393333
0.030000	17.207900	45.146352	43.083333
0.040000	22.939034	45.146352	45.456667
0.050000	28.668234	45.146352	48.436667
0.060000	34.394029	45.146352	52.130000
0.070000	40.113218	45.146352	56.473333
0.080000	45.825996	45.146352	61.480000
0.090000	51.532806	45.146352	67.126667
0.100000	57.232498	45.146352	73.473333
0.110000	62.924060	45.146352	80.440000
0.120000	68.604628	45.146352	88.056667
0.130000	74.240971	45.146352	96.346667
0.140000	79.896934	45.146352	105.230000
0.150000	85.541601	45.146352	114.763333
0.160000	91.171292	45.146352	124.923333
0.170000	96.785967	45.146352	135.690000
0.180000	102.381659	45.146352	147.063333
0.190000	107.960221	45.146352	159.070000
0.200000	113.517656	45.146352	171.646667
0.210000	119.064125	45.146352	184.756667
0.220000	124.543298	45.146352	212.473333
0.230000	130.040433	45.146352	227.966667
0.240000	135.495411	45.146352	223.683333
0.250000	140.918063	45.146352	223.080000
0.260000	146.293542	45.146352	277.690000
0.270000	151.123817	45.146352	295.490000
0.280000	148.653716	45.146352	267.646667
0.290000	153.772286	45.146352	254.590000
0.300000	159.031552	45.146352	302.236667
0.310000	164.244338	45.146352	314.526667
0.320000	169.392895	45.146352	334.766667
0.330000	174.447672	45.146352	322.456667
0.340000	176.940936	45.146352	362.490000
0.350000	174.145586	45.146352	350.103333
0.360000	179.039791	45.146352	366.706667
0.370000	183.877396	45.146352	298.616667
0.380000	188.585946	45.146352	399.760000
0.390000	193.099551	45.146352	423.380000
0.400000	183.915506	45.146352	378.600000
0.410000	183.588040	45.146352	270.630000
0.420000	180.571908	45.146352	351.470000
0.430000	182.961323	45.146352	358.573333
0.440000	184.643560	45.146352	363.323333
0.450000	168.053993	45.146352	308.246667
0.460000	171.325298	45.146352	323.076667
0.470000	171.899420	45.146352	412.433333
0.480000	170.535985	45.146352	342.370000
0.490000	161.910919	45.146352	232.436667
0.500000	159.000559	45.146352	295.146667
0.510000	167.528102	45.146352	341.730000
0.520000	163.312688	45.146352	314.186667
0.530000	165.153324	45.146352	221.330000
0.540000	162.037633	45.146352	210.450000
0.550000	162.356842	45.146352	205.450000
0.560000	160.156808	45.146352	306.600000
0.570000	156.531952	45.146352	307.070000
0.580000	154.752842	45.146352	307.866667
0.590000	148.428574	45.146352	485.900000
0.600000	150.933308	45.146352	203.403333
0.610000	141.747275	45.146352	291.503333
0.620000	126.849398	45.146352	260.466667
0.630000	126.348001	45.146352	259.626667
0.640000	126.959942	45.146352	265.203333
0.650000	129.685601	45.146352	264.246667
0.660000	132.547191	45.146352	272.416667
0.670000	135.656936	45.146352	302.486667
0.680000	138.932373	45.146352	314.570000
0.690000	142.090363	45.146352	322.350000
0.700000	144.989602	45.146352	354.120000
0.710000	147.352339	45.146352	475.980000
0.720000	146.799702	45.146352	414.290000
0.730000	144.352015	45.146352	446.710000
0.740000	144.519288	45.146352	473.590000
0.750000	142.163962	45.146352	479.323333
0.760000	138.534090	45.146352	492.756667
0.770000	136.762792	45.146352	513.920000
0.780000	134.450964	45.146352	539.506667
0.790000	129.433809	45.146352	560.466667
0.800000	122.617661	45.146352	530.726667
# Estimated yield strength: 5.258864 GPa # Ultimate strength: 193.099551 GPa
