# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	5.740587	45.146352	-72.748020	-4.039333
0.015000	8.608270	45.146352	-72.737715	-4.082000
0.020000	11.473443	45.146352	-72.723350	-4.139333
0.030000	17.207921	45.146352	-72.681956	-4.308333
0.040000	22.938980	45.146352	-72.624037	-4.545667
0.050000	28.668194	45.146352	-72.549750	-4.843667
0.060000	34.393884	45.146352	-72.458888	-5.213000
0.070000	40.113382	45.146352	-72.351568	-5.647667
0.080000	45.826330	45.146352	-72.227690	-6.148667
0.090000	51.533307	45.146352	-72.087515	-6.713000
0.100000	57.232931	45.146352	-71.930594	-7.347333
0.110000	62.924302	45.146352	-71.757425	-8.044667
0.120000	68.604587	45.146352	-71.567774	-8.806000
0.130000	74.240624	45.146352	-71.361618	-9.635333
0.140000	79.896375	45.146352	-71.139400	-10.523000
0.150000	85.541080	45.146352	-70.900581	-11.476333
0.160000	91.170764	45.146352	-70.645417	-12.492333
0.170000	96.785690	45.146352	-70.373990	-13.568667
0.180000	102.381614	45.146352	-70.086416	-14.706000
0.190000	107.960380	45.146352	-69.782484	-15.906667
0.200000	113.517981	45.146352	-69.462693	-17.164667
0.210000	119.064601	45.146352	-69.126721	-18.475667
0.220000	124.543805	45.146352	-68.865024	-21.247333
0.230000	130.040889	45.146352	-68.505843	-22.797667
0.240000	135.495637	45.146352	-68.043387	-22.368333
0.250000	140.918013	45.146352	-67.668215	-22.308333
0.260000	146.293233	45.146352	-67.336701	-27.769000
0.270000	151.123335	45.146352	-66.916208	-29.549667
0.280000	148.653228	45.146352	-66.497349	-26.764000
0.290000	153.771826	45.146352	-65.987094	-25.458667
0.300000	159.031210	45.146352	-65.629778	-30.223667
0.310000	164.244104	45.146352	-65.016839	-31.453000
0.320000	169.392855	45.146352	-64.703630	-33.476333
0.330000	174.447816	45.146352	-63.890388	-32.245667
0.340000	176.940950	45.146352	-63.721710	-36.249000
0.350000	174.145766	45.146352	-63.232469	-35.009667
0.360000	179.039935	45.146352	-62.735450	-36.670333
0.370000	183.875365	45.146352	-62.224191	-38.458333
0.380000	188.585930	45.146352	-61.697030	-39.975667
0.390000	193.099551	45.146352	-61.160659	-42.338000
0.400000	183.915415	45.146352	-60.629441	-37.860000
0.410000	183.588039	45.146352	-59.696022	-27.063000
0.420000	180.571839	45.146352	-59.598034	-35.147000
0.430000	182.961307	45.146352	-59.086575	-35.857333
0.440000	184.643563	45.146352	-58.566654	-36.332333
0.450000	168.053995	45.146352	-58.078165	-30.824667
0.460000	171.325341	45.146352	-57.596978	-32.307667
0.470000	171.899431	45.146352	-56.275513	-41.243333
0.480000	170.535973	45.146352	-56.631801	-34.237000
0.490000	161.910917	45.146352	-55.715430	-23.244000
0.500000	159.000549	45.146352	-55.621590	-29.514667
0.510000	167.528100	45.146352	-55.235672	-34.173000
0.520000	163.312685	45.146352	-54.768268	-31.418667
0.530000	165.153377	45.146352	-53.627933	-22.133333
0.540000	162.037643	45.146352	-53.130245	-21.045000
0.550000	162.356944	45.146352	-52.544175	-20.545000
0.560000	160.156852	45.146352	-52.927692	-30.660000
0.570000	156.531947	45.146352	-52.483535	-30.707000
0.580000	154.751138	45.146352	-52.041664	-30.786333
0.590000	148.428555	45.146352	-49.455563	-48.590000
0.600000	150.933727	45.146352	-50.038114	-20.340000
0.610000	141.742262	45.146352	-50.775835	-29.148667
0.620000	126.850035	45.146352	-50.399327	-26.048000
0.630000	126.347500	45.146352	-50.042359	-25.962667
0.640000	126.959875	45.146352	-49.686130	-26.520333
0.650000	129.685527	45.146352	-49.263316	-26.425000
0.660000	132.547187	45.146352	-48.920257	-27.242000
0.670000	135.657063	45.146352	-48.570648	-30.244667
0.680000	138.932377	45.146352	-48.175783	-31.457000
0.690000	142.090402	45.146352	-47.761124	-32.234333
0.700000	144.989553	45.146352	-47.377581	-35.411000
0.710000	147.352336	45.146352	-46.627043	-47.598333
0.720000	146.799638	45.146352	-46.562284	-41.429333
0.730000	144.351973	45.146352	-46.153373	-44.671000
0.740000	144.519313	45.146352	-45.745526	-47.356000
0.750000	142.163941	45.146352	-45.340093	-47.932000
0.760000	138.534070	45.146352	-44.944025	-49.275667
0.770000	136.762782	45.146352	-44.556053	-51.389333
0.780000	134.450946	45.146352	-44.176578	-53.951000
0.790000	129.434004	45.146352	-43.803375	-56.046333
#Estimated yield strength using 0.002 and yield strength using linearity method are:  5.74 GPa and  5.74 GPa 
#The indent_strength ultimate strength is: 193.10 GPa 
#Energy Storage Capacity at max strain 0.390 is 4.707 MJ/L or 369.937 Wh/Kg
