#Internal Pressure(GPa)	Enthalpy(eV)	Strain	Stress
-inf	-inf	0.01	11.474479264000001
-inf	-inf	0.015	17.211321021499998
-inf	-inf	0.02	22.9466378975
-inf	-inf	0.03	34.421445606
-inf	-inf	0.04	45.891137914000005
-inf	-inf	0.05	57.3606332375
-inf	-inf	0.06	68.8287384985
-inf	-inf	0.07	80.255359646
-inf	-inf	0.08	91.716618942
-inf	-inf	0.09000000000000001	103.17220809999999
-inf	-inf	0.1	114.62314249900001
-inf	-inf	0.11	126.0585885995
-inf	-inf	0.12000000000000001	137.4847890395
-inf	-inf	0.13	148.85517890900002
-inf	-inf	0.13999999999999999	151.1734445265
-inf	-inf	0.15	162.39357680100002
-inf	-inf	0.16	173.58150161050003
-inf	-inf	0.16999999999999998	173.1069028095
-inf	-inf	0.18	183.817115642
-inf	-inf	0.19	194.27606376100002
-inf	-inf	0.19999999999999998	182.85485283900002
-inf	-inf	0.21	168.79347648200002
-inf	-inf	0.22	161.68510160350002
-inf	-inf	0.22999999999999998	156.1992541635
