#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
-11.114612476327048	-75.91820485224723	0.01	6.597644176999999
-16.219692395079946	-77.38565333950142	0.02	16.917336885
-26.3262748774182	-80.30487199605561	0.03	26.967537582000002
-36.08838304994268	-83.15190392387423	0.04	36.732223508
-45.54429507765125	-85.93652118846894	0.05	46.239165075
-54.84037342860851	-88.70022470721358	0.060000000000000005	55.478998194
-63.88891794180624	-91.4157509575003	0.06999999999999999	64.453559046
-72.62232872319052	-94.06129501329116	0.08	73.163748792
-81.05022857179853	-96.63806232999833	0.09	81.615873514
-89.25882049340241	-99.17100050041613	0.09999999999999999	89.81373030700001
-97.24971817101644	-101.65918815807473	0.11	97.763600763
-104.9756600020861	-104.08666667205736	0.12	105.46342166300002
-112.43678063685259	-106.45193322854621	0.13	112.91789333100002
-119.6482898855775	-108.75843358434904	0.14	120.129407843
-126.57814254626778	-110.9942806994433	0.15000000000000002	127.09992660800002
-133.3835659527714	-113.2094702130554	0.16	133.838776977
-139.959397083318	-115.36799818621247	0.17	140.337848369
-146.1720702804541	-117.42507941118595	0.18000000000000002	146.61203128300002
-152.20162850224054	-119.43849749673123	0.19	152.658855729
-158.0593953770613	-121.41109051628004	0.2	158.48794404
-163.6907048366703	-123.32317676362996	0.21000000000000002	164.09127726500003
-169.09008682660857	-125.17182595695387	0.22	169.478661433
-174.23267413275346	-126.94689985088372	0.23	174.65061009700003
-179.17669119592347	-128.66757888634353	0.24000000000000002	179.616373125
-183.9891649916656	-130.35590966223518	0.25	184.371839433
-188.56967828573778	-131.97575086233053	0.26	188.920544346
-192.8873354851767	-133.51476388599437	0.27	193.264663019
-197.0086566072496	-134.9955229984166	0.28	197.40947430300002
-200.98715737760224	-136.4361284487096	0.29000000000000004	201.35628655600001
-204.7363243967105	-137.80417788821836	0.3	205.104536682
-208.27668329823277	-139.10610273771246	0.31	208.66011982300003
-211.67280026249517	-140.36453992130373	0.32	212.01986579200002
-214.85080598634772	-141.55101181706775	0.33	215.188821716
-217.78548483554212	-142.6549527684744	0.34	218.164410679
-220.57731455245988	-143.7131030002505	0.35000000000000003	220.95123238500003
-223.1443081107436	-144.6930662290554	0.36000000000000004	223.538045508
-225.01877293046275	-145.41340650283084	0.37	225.684267865
-224.75258986374058	-145.30796391240756	0.38	225.68879426200002
-221.86779054258892	-144.1806062228689	0.39	222.09864614500003
-219.28179218756824	-143.16578904099964	0.4	218.95028048
-217.50269923297992	-142.46068838550485	0.41000000000000003	218.864438002
-216.37360135706004	-142.01203510155534	0.42000000000000004	213.65752529500003
