#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
0.0	-72.74801960333333	0.01	5.7405874290000005
0.0	-72.73771457000001	0.015	8.6082695675
0.0	-72.72334994666666	0.02	11.4734427305
0.0	-72.68195601999999	0.03	17.207921062999997
0.0	-72.62403654	0.04	22.9389797265
0.0	-72.54975002333335	0.05	28.668194240000005
0.0	-72.45888779	0.06	34.393883704500006
0.0	-72.3515684	0.07	40.113382303
0.0	-72.22768989666666	0.08	45.826329540500005
0.0	-72.08751498666668	0.09000000000000001	51.53330748900001
0.0	-71.93059390333333	0.1	57.23293085750001
0.0	-71.75742459333334	0.11	62.92430229700001
0.0	-71.56777351	0.12000000000000001	68.6045872425
0.0	-71.36161804333334	0.13	74.24062391
0.0	-71.13939953333333	0.13999999999999999	79.8963750955
0.0	-70.90058059333333	0.15	85.541079746
0.0	-70.64541724666667	0.16	91.170763733
0.0	-70.37398951666667	0.16999999999999998	96.78569004650001
0.0	-70.08641569666668	0.18	102.38161440350001
0.0	-69.78248444333333	0.19	107.9603796445
0.0	-69.46269280333333	0.19999999999999998	113.51798070299999
0.0	-69.12672084	0.21	119.06460148000002
0.0	-68.86502398333333	0.22	124.5438052065
0.0	-68.50584302666665	0.22999999999999998	130.040889437
0.0	-68.04338679666667	0.24	135.495636771
0.0	-67.66821506333334	0.25	140.918013006
0.0	-67.33670063	0.26	146.29323296900003
0.0	-66.91620810666667	0.27	151.12333480100003
0.0	-66.49734859	0.28	148.653227654
0.0	-65.98709373333334	0.29000000000000004	153.77182599550002
0.0	-65.62977844000001	0.30000000000000004	159.03121013250004
0.0	-65.01683861333333	0.31	164.244103749
0.0	-64.70363014666667	0.32	169.392855016
0.0	-63.89038797666666	0.33	174.44781642200002
0.0	-63.72170969333333	0.34	176.94094963600003
0.0	-63.23246914333333	0.35000000000000003	174.1457663815
0.0	-62.73545046666666	0.36000000000000004	179.0399349595
0.0	-62.22419121666667	0.37000000000000005	183.8753654815
0.0	-61.697029810000004	0.38	188.585929506
0.0	-61.16065871	0.39	193.0995514545
0.0	-60.62944082333333	0.4	183.9154146225
0.0	-59.69602199	0.41000000000000003	183.58803877050002
0.0	-59.59803378666667	0.42000000000000004	180.571838867
0.0	-59.08657455	0.43000000000000005	182.96130681750003
0.0	-58.56665365999999	0.44	184.6435634265
0.0	-58.078165006666666	0.45	168.0539954635
0.0	-57.59697811666666	0.46	171.3253411545
0.0	-56.275513116666666	0.47000000000000003	171.899431162
0.0	-56.63180119	0.48000000000000004	170.5359725035
0.0	-55.71542974333334	0.49000000000000005	161.91091665650004
0.0	-55.62158997333333	0.5	159.00054853100002
0.0	-55.23567161	0.51	167.528099832
0.0	-54.76826839	0.52	163.31268525000002
0.0	-53.627933453333334	0.53	165.153376508
0.0	-53.13024488666667	0.54	162.03764274800002
0.0	-52.544174946666665	0.55	162.35694404000003
0.0	-52.92769170333333	0.56	160.15685223350002
0.0	-52.48353517333333	0.5700000000000001	156.53194718400002
0.0	-52.041663863333326	0.5800000000000001	154.7511380995
0.0	-49.45556340666666	0.5900000000000001	148.42855514
0.0	-50.03811425333333	0.6	150.93372731899998
0.0	-50.775835236666666	0.61	141.74226154
0.0	-50.39932732666666	0.62	126.850035262
0.0	-50.042358760000006	0.63	126.347500146
0.0	-49.68612981333333	0.64	126.95987514450002
0.0	-49.26331623666667	0.65	129.6855269065
0.0	-48.920256990000006	0.66	132.547187257
0.0	-48.570648299999995	0.67	135.657063447
0.0	-48.17578328	0.68	138.93237703300002
0.0	-47.761123639999994	0.6900000000000001	142.0904015135
0.0	-47.377580826666666	0.7000000000000001	144.9895528815
0.0	-46.62704312333333	0.7100000000000001	147.3523362955
0.0	-46.562283820000005	0.7200000000000001	146.799637542
0.0	-46.15337277	0.73	144.35197342950002
0.0	-45.74552628666667	0.74	144.519313096
0.0	-45.340092973333334	0.75	142.16394089300002
0.0	-44.94402489666667	0.76	138.53407040550002
0.0	-44.556052529999995	0.77	136.762781971
0.0	-44.17657825999999	0.78	134.45094580949998
