#Volume (Å³)	Bulk_Modulus (GPa)	K_derivative	Stress (GPa)
45.1464	-inf	nan	17.2113
45.1464	-inf	nan	22.9466
45.1464	-inf	nan	34.4214
45.1464	-inf	nan	45.8911
45.1464	-inf	nan	57.3606
45.1464	-inf	nan	68.8287
45.1464	-inf	nan	80.2554
45.1464	-inf	nan	91.7166
45.1464	-inf	nan	103.1722
45.1464	-inf	nan	114.6231
45.1464	-inf	nan	126.0586
45.1464	-inf	nan	137.4848
45.1464	-inf	nan	148.8552
45.1464	-inf	nan	151.1734
45.1464	-inf	nan	162.3936
45.1464	-inf	nan	173.5815
45.1464	-inf	nan	173.1069
45.1464	-inf	inf	183.8171
45.1464	inf	inf	194.2761
45.1464	inf	nan	182.8549
45.1464	inf	nan	168.7935
45.1464	inf	nan	161.6851
45.1464	inf	nan	156.1993
