#Volume (Å³)	Bulk_Modulus (GPa)	K_derivative	Stress (GPa)
46.5109	-531.1028	1.2942	13.1096
46.9703	-524.3142	2.1769	18.3550
47.8958	-486.5258	3.9238	28.2083
48.8303	-450.3513	4.0794	37.2403
49.7739	-416.0049	4.2528	45.5215
50.7264	-383.1309	4.4318	53.0806
51.6881	-352.0679	4.6196	59.9723
52.6587	-322.4950	4.8351	66.2355
53.6384	-294.4722	5.0784	71.9107
54.6271	-267.7912	5.3664	77.0363
55.6248	-242.4006	5.6921	81.6434
56.6316	-218.2621	6.0631	85.7668
57.6474	-195.3452	6.4936	89.4341
58.6722	-173.5813	7.0127	92.6776
59.7060	-152.8875	7.6237	95.5209
60.7489	-133.3066	8.4082	97.9920
61.8008	-114.5776	9.4117	100.1145
62.8618	-96.8257	10.6767	101.9062
63.9317	-79.9907	12.4306	103.3940
65.0107	-64.0168	14.9400	104.5925
66.0988	-48.9046	19.0097	105.5257
67.1958	-34.5514	26.7327	106.2070
68.3019	-20.8536	48.5708	106.6565
69.4170	-7.7660	509.6587	106.8834
70.5412	4.4385	649.3622	106.9054
71.6743	16.0175	-57.6782	106.7398
72.8166	27.1037	-27.5209	106.3955
73.9678	37.6152	-15.2429	105.8849
75.1280	43.1260	-8.2742	105.2189
