#Volume (Å³)	Bulk_Modulus (GPa)	K_derivative	Stress (GPa)
46.0493	-1025.1205	0.4631	16.9173
46.5007	-1020.4667	1.1809	26.9675
46.9522	-1002.1246	1.8817	36.7322
47.4037	-984.2057	1.9632	46.2392
47.8551	-965.3629	2.0917	55.4790
48.3066	-946.1341	2.1838	64.4536
48.7581	-926.7650	2.2565	73.1637
49.2095	-907.4240	2.3217	81.6159
49.6610	-888.1250	2.4086	89.8137
50.1125	-868.5579	2.5250	97.7636
50.5639	-848.6404	2.6365	105.4634
51.0154	-828.6282	2.7475	112.9179
51.4668	-808.3759	2.8457	120.1294
51.9183	-788.2887	2.9624	127.0999
52.3698	-767.7995	3.1034	133.8388
52.8212	-747.2354	3.2001	140.3378
53.2727	-726.9394	3.2990	146.6120
53.7242	-706.6168	3.4553	152.6589
54.1756	-685.9453	3.6496	158.4879
54.6271	-664.9384	3.8078	164.0913
55.0785	-644.1193	3.9299	169.4787
55.5300	-623.4693	4.0879	174.6506
55.9815	-602.7162	4.3222	179.6164
56.4329	-581.5107	4.5692	184.3718
56.8844	-560.2479	4.7798	188.9205
57.3359	-539.0471	4.9983	193.2647
57.7873	-517.8639	5.2874	197.4095
58.2388	-496.3315	5.6107	201.3563
58.6903	-474.7492	5.9488	205.1045
59.1417	-452.9541	6.3540	208.6601
59.5932	-430.8943	6.8054	212.0199
60.0446	-408.6122	7.3101	215.1888
60.4961	-386.0815	7.9906	218.1644
60.9476	-362.7203	12.2299	220.9512
61.3990	-321.8464	51.6073	223.5380
61.8505	-147.3263	87023.7894	225.6843
62.3020	247.4079	87317.3174	225.6888
62.7534	468.3267	12.1906	222.0986
63.2049	226.3946	-1662.0523	218.9503
63.6564	373.1392	-1682.8798	218.8644
64.1078	739.3816	-70.3377	213.6575
