#Volume (Å³)	Bulk_Modulus (GPa)	K_derivative	Stress (GPa)
45.1464	-inf	nan	8.6083
45.1464	-inf	nan	11.4734
45.1464	-inf	nan	17.2079
45.1464	-inf	nan	22.9390
45.1464	-inf	nan	28.6682
45.1464	-inf	nan	34.3939
45.1464	-inf	nan	40.1134
45.1464	-inf	nan	45.8263
45.1464	-inf	nan	51.5333
45.1464	-inf	nan	57.2329
45.1464	-inf	nan	62.9243
45.1464	-inf	nan	68.6046
45.1464	-inf	nan	74.2406
45.1464	-inf	nan	79.8964
45.1464	-inf	nan	85.5411
45.1464	-inf	nan	91.1708
45.1464	-inf	nan	96.7857
45.1464	-inf	nan	102.3816
45.1464	-inf	nan	107.9604
45.1464	-inf	nan	113.5180
45.1464	-inf	nan	119.0646
45.1464	-inf	nan	124.5438
45.1464	-inf	nan	130.0409
45.1464	-inf	nan	135.4956
45.1464	-inf	nan	140.9180
45.1464	-inf	nan	146.2932
45.1464	-inf	nan	151.1233
45.1464	-inf	nan	148.6532
45.1464	-inf	nan	153.7718
45.1464	-inf	nan	159.0312
45.1464	-inf	nan	164.2441
45.1464	-inf	nan	169.3929
45.1464	-inf	inf	174.4478
45.1464	inf	nan	176.9409
45.1464	-inf	inf	174.1458
45.1464	-inf	nan	179.0399
45.1464	-inf	nan	183.8754
45.1464	-inf	inf	188.5859
45.1464	inf	inf	193.0996
45.1464	inf	nan	183.9154
45.1464	inf	nan	183.5880
45.1464	inf	-inf	180.5718
45.1464	-inf	nan	182.9613
45.1464	inf	inf	184.6436
45.1464	inf	-inf	168.0540
45.1464	-inf	nan	171.3253
45.1464	inf	inf	171.8994
45.1464	inf	nan	170.5360
45.1464	inf	inf	161.9109
45.1464	-inf	inf	159.0005
45.1464	-inf	-inf	167.5281
45.1464	inf	nan	163.3127
45.1464	inf	nan	165.1534
45.1464	inf	nan	162.0376
45.1464	inf	nan	162.3569
45.1464	inf	nan	160.1569
45.1464	inf	nan	156.5319
45.1464	inf	nan	154.7511
45.1464	inf	nan	148.4286
45.1464	inf	nan	150.9337
45.1464	inf	nan	141.7423
45.1464	inf	inf	126.8500
45.1464	-inf	inf	126.3475
45.1464	-inf	nan	126.9599
45.1464	-inf	nan	129.6855
45.1464	-inf	nan	132.5472
45.1464	-inf	nan	135.6571
45.1464	-inf	nan	138.9324
45.1464	-inf	nan	142.0904
45.1464	-inf	nan	144.9896
45.1464	-inf	-inf	147.3523
45.1464	inf	-inf	146.7996
45.1464	inf	nan	144.3520
45.1464	inf	nan	144.5193
45.1464	inf	nan	142.1639
45.1464	inf	nan	138.5341
45.1464	inf	nan	136.7628
45.1464	inf	nan	134.4509
