# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	9.731436	45.634321	-72.735776	0.704667
0.015000	14.621104	45.634321	-72.700852	0.658333
0.020000	19.520294	45.634321	-72.651731	0.594333
0.030000	29.348901	45.634321	-72.510854	0.410000
0.040000	39.197451	45.634321	-72.312735	0.153000
0.050000	49.042975	45.634321	-72.056766	-0.177000
0.060000	58.865086	45.634321	-71.742800	-0.582000
0.070000	68.640837	45.634321	-71.370532	-1.065667
0.080000	78.343123	45.634321	-70.939662	-1.638000
0.090000	87.932751	45.634321	-70.499581	-2.618333
0.100000	97.396668	45.634321	-69.971000	-3.450667
0.110000	106.687099	45.634321	-69.389075	-4.391667
0.120000	115.764826	45.634321	-68.755163	-5.444667
0.130000	124.570566	45.634321	-68.070713	-6.608667
0.140000	133.003925	45.634321	-67.338218	-7.923000
0.150000	136.416083	45.634321	-66.568771	-8.878000
0.160000	140.287453	45.634321	-65.787424	-10.167667
