#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
0.0	-72.73577624666667	0.01	9.731436311
0.0	-72.70085231333333	0.015	14.621104228500002
0.0	-72.65173138333334	0.02	19.5202943555
0.0	-72.51085406333333	0.03	29.3489009555
0.0	-72.31273549000001	0.04	39.197450624
0.0	-72.05676647666668	0.05	49.042974512
0.0	-71.74279962333334	0.06	58.865085645499995
0.0	-71.37053209333334	0.07	68.640836849
0.0	-70.9396616	0.08	78.343123232
0.0	-70.49958055666667	0.09000000000000001	87.93275124
0.0	-69.97099969333334	0.1	97.39666831350002
0.0	-69.38907497666666	0.11	106.68709920750001
0.0	-68.75516278666667	0.12000000000000001	115.764826151
0.0	-68.07071340333333	0.13	124.57056625300002
0.0	-67.33821848000001	0.13999999999999999	133.003924631
0.0	-66.56877077333333	0.15	136.4160827035
0.0	-65.78742354333333	0.16	140.28745329950002
