#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress(GPa)
-43.48560594247848	-85.02275771862072	0.01	1.3274142635000001
-52.78780865638769	-87.64976321859349	0.015	2.97992544575
-71.4824607700135	-92.93112142210401	0.02	4.625318597500001
-108.85255200079366	-103.49945878786293	0.03	7.892174567
-145.5031681085285	-113.87878611497234	0.04	11.123041617250003
-181.4935183216023	-124.08546324119247	0.05	14.3215074615
-216.89968794192458	-134.1404392843275	0.06	17.482067931
-251.58346333948464	-144.00403771208067	0.07	20.602807706750003
-285.13702657718557	-153.55939965824075	0.08	23.681670214000004
-318.1291399065963	-162.96816906110354	0.09000000000000001	26.719824257750005
-350.8256767638921	-172.30542858952947	0.1	29.712852618249997
-371.3514827795198	-178.1729627890671	0.11	32.659782557
-400.27578248091055	-186.45995696899058	0.12000000000000001	35.5479369915
-439.17428972989035	-197.61273055310795	0.13	38.391068371500005
-468.2528738304913	-205.96303059311995	0.13999999999999999	41.181670945
-496.5059383958194	-214.0872297585991	0.15	43.917573088500006
-523.7442303639125	-221.93061731723228	0.16	46.59470534775001
-550.3942504960255	-229.61505307078087	0.16999999999999998	49.211171345000004
-575.8929839709274	-236.97762369491065	0.18	51.76597888525001
-600.6860309845317	-244.14633717284772	0.19	54.24754773425
-625.0577464075943	-251.20285613392514	0.19999999999999998	56.67206061300001
-648.3679900435521	-257.9611740308892	0.21	59.026577081
-670.7712902393775	-264.4655447046731	0.22	61.311773657
-692.4827501174408	-270.7775673943129	0.22999999999999998	63.524428225499996
-713.2048205929336	-276.8101869435923	0.24	65.664278696
-732.9492237807959	-282.5659807802302	0.25	67.72512576475002
-747.8462662125478	-286.91383125907396	0.26	69.56292519975
-753.3964369453103	-288.53521835303366	0.27	70.13131151500001
-761.4277929004968	-290.8875663783994	0.28	71.23842197875
-775.5956322842898	-295.0399652265474	0.29000000000000004	72.7747885055
-776.8445906146723	-295.40425495097134	0.30000000000000004	72.589077448
-779.6547184675502	-296.23273835346754	0.31	73.2123336975
-778.0557033797504	-295.7586917845993	0.32	73.451552042
-751.2581620925254	-287.86017357390364	0.33	69.69410766924999
-734.004525369842	-282.7722659450076	0.34	61.157869571250004
