# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	1.812274	44.985258	-72.747065	-5.631667
0.015000	2.725072	44.904711	-72.738794	-6.462000
0.020000	3.642793	44.824164	-72.728190	-7.302667
0.030000	5.491343	44.663071	-72.699815	-9.012667
0.040000	7.357833	44.501977	-72.661701	-10.764000
0.050000	9.241660	44.340883	-72.613368	-12.558667
0.060000	11.143520	44.179789	-72.554653	-14.397667
0.070000	13.062870	44.018696	-72.485463	-16.277667
0.080000	15.003035	43.857602	-72.410964	-18.250333
0.090000	16.959143	43.696508	-72.322121	-20.232000
0.100000	18.934659	43.535415	-72.222608	-22.259333
0.110000	20.927299	43.374321	-72.111956	-24.336667
0.120000	22.938998	43.213227	-71.990085	-26.461667
0.130000	24.969161	43.052134	-71.857109	-28.631333
0.140000	27.018598	42.891040	-71.712467	-30.851667
0.150000	29.087665	42.729946	-71.555935	-33.124333
0.160000	31.176319	42.568853	-71.387487	-35.446667
0.170000	33.284635	42.407759	-71.206776	-37.821000
0.180000	35.413384	42.246665	-71.013791	-40.246667
0.190000	37.562345	42.085572	-70.808297	-42.722667
0.200000	39.732997	41.924478	-70.590010	-45.254000
0.210000	41.925025	41.763384	-70.358404	-47.844000
0.220000	44.140498	41.602291	-70.113461	-50.490333
0.230000	46.378319	41.441197	-69.855108	-53.193000
0.240000	48.639316	41.280103	-69.583057	-55.953333
0.250000	50.926037	41.119010	-69.298712	-58.835333
0.260000	53.235660	40.957916	-68.998587	-61.727333
0.270000	55.570397	40.796822	-68.684126	-64.679333
0.280000	57.931521	40.635729	-68.354692	-67.707000
0.290000	60.318679	40.474635	-68.010353	-70.786333
0.300000	62.733435	40.313541	-67.650580	-73.941667
0.310000	65.176649	40.152448	-67.275377	-77.179333
0.320000	67.645421	39.991354	-66.884294	-80.464000
0.330000	70.125502	39.830260	-66.476904	-83.832667
0.340000	72.156693	39.669167	-66.053646	-87.114333
0.350000	71.982977	39.508073	-65.618092	-89.685000
0.360000	71.680611	39.346979	-65.174862	-92.116667
0.370000	73.074573	39.185885	-64.722610	-95.201333
0.380000	75.673639	39.024792	-64.254004	-98.763333
0.390000	78.426635	38.863698	-63.767055	-102.514333
0.400000	81.203164	38.702604	-63.262850	-106.268000
0.410000	83.983671	38.541511	-62.740083	-110.110333
0.420000	85.995672	38.380417	-62.199849	-113.769333
0.430000	85.720544	38.219323	-61.648685	-116.915667
0.440000	84.848087	38.058230	-61.092259	-119.985667
0.450000	85.664680	37.897136	-60.526029	-123.150000
0.460000	85.765629	37.736042	-59.952799	-126.289333
0.470000	88.026329	37.574949	-59.368739	-130.266000
0.480000	90.817866	37.413855	-58.768408	-134.290667
0.490000	90.741732	37.252761	-58.152801	-137.475667
0.500000	89.235678	37.091668	-57.529980	-140.220333
0.510000	87.693462	36.930574	-56.907510	-142.846667
0.520000	90.644071	36.769480	-56.270574	-147.207000
0.530000	92.292145	36.608387	-55.621578	-151.578333
0.540000	92.991480	36.447293	-54.960939	-156.385667
0.550000	92.741481	36.286199	-54.304656	-160.322000
0.560000	89.796115	36.125106	-53.655587	-162.427333
0.570000	88.087473	35.964012	-53.012901	-165.636667
0.580000	88.335598	35.802918	-52.380385	-167.752000
0.590000	73.300745	35.641825	-51.881919	-167.694000
0.600000	72.517888	35.480731	-51.291213	-172.033000
0.610000	63.175650	35.319637	-50.710190	-175.849000
0.620000	47.384711	35.158544	-50.235840	-181.828000
# Energy Storage Capacity at max strain 0.5400 is 3.138 MJ/L or 246.671 Wh/Kg, Thickness 0.0 Å 
# Estimated Stiffness (E) is 185.717465 GPa
# Estimated Yield strength using 0.002 offset is 90.741732 GPa
# Estimated Resilience is 22.231724 J/m^3
# Estimated Toughness is 34.235861 J/m^3
# Estimated Ductility(%) is 54.000 %
# Estimated Ductility Index(%) is 10.204 %
# indent_strength ultimate strength: 92.991480 GPa
