# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	0.522431	44.809931	-72.732863	-7.428000
0.015000	0.794005	44.641230	-72.710838	-9.194000
0.020000	1.070779	44.472205	-72.681567	-10.999667
0.030000	1.644839	44.133192	-72.601535	-14.727333
0.040000	2.244163	43.792913	-72.491760	-18.620000
0.050000	2.864891	43.451387	-72.352034	-22.673333
0.060000	3.509560	43.108632	-72.180928	-26.901667
0.070000	4.176089	42.764669	-71.977789	-31.308667
0.080000	4.881799	42.419515	-71.747258	-35.953333
0.090000	5.596154	42.073191	-71.479668	-40.748333
0.100000	6.337071	41.725717	-71.177922	-45.743333
0.110000	7.096479	41.377110	-70.840811	-50.949000
0.120000	7.875176	41.027390	-70.467663	-56.371333
0.130000	8.674624	40.676578	-70.057574	-62.018000
0.140000	9.492831	40.324691	-69.609543	-67.897000
0.150000	10.329109	39.971750	-69.122530	-74.018000
0.160000	11.180766	39.617773	-68.595344	-80.393333
0.170000	12.050014	39.262780	-68.027042	-87.031333
0.180000	12.934758	38.906789	-67.416606	-93.944000
0.190000	13.833803	38.549822	-66.762699	-101.144667
0.200000	14.733712	38.191896	-66.065342	-108.676000
0.210000	15.673714	37.833030	-65.319580	-116.455000
0.220000	17.185040	37.473245	-64.530685	-124.471667
0.230000	20.848806	37.112560	-63.705434	-131.900333
0.240000	22.737164	36.750993	-62.848572	-140.096000
0.250000	23.598126	36.388564	-61.944622	-149.095667
0.260000	24.418025	36.025292	-60.987978	-158.525667
0.270000	25.202580	35.661197	-59.978809	-168.289000
0.280000	25.743053	35.296298	-58.927290	-178.136333
0.290000	25.213566	34.930614	-57.840182	-188.008333
0.300000	25.333900	34.564164	-56.715789	-198.759667
0.310000	25.862817	34.196968	-55.536095	-210.191000
0.320000	27.039028	33.829045	-54.306306	-221.310667
0.330000	22.228688	33.460414	-53.073199	-232.831667
0.340000	21.750288	33.091094	-51.802131	-245.862000
0.350000	21.268968	32.721105	-50.492527	-259.110667
0.360000	10.698648	32.350467	-49.168320	-272.154000
# Energy Storage Capacity at max strain 0.3200 is 0.541 MJ/L or 42.503 Wh/Kg, Thickness 0.0 Å 
# Energy Storage Capacity at max strain 0.3200 is 0.541 MJ/L or 42.503 Wh/Kg 
# Estimated Stiffness (E) is 59.655862 GPa
# Estimated Yield strength using 0.002 offset is 2.864891 GPa
# Estimated Resilience is 0.071622 J/m^3
# Estimated Toughness is 4.742558 J/m^3
# Estimated Ductility(%) is 32.000 %
# Estimated Ductility Index(%) is 540.000 %
# indent_strength ultimate strength: 27.039028 GPa
