# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	1.375548	45.103313	-72.748212	-4.462000
0.015000	2.064465	45.081698	-72.739079	-4.710333
0.020000	2.754001	45.060020	-72.726374	-4.972667
0.030000	4.134026	45.016474	-72.690448	-5.537000
0.040000	5.515460	44.972674	-72.639918	-6.157000
0.050000	6.896339	44.928619	-72.580790	-6.892667
0.060000	8.275346	44.884311	-72.504217	-7.649000
0.070000	9.654234	44.839749	-72.413171	-8.469333
0.080000	11.025888	44.794932	-72.307983	-9.347000
0.090000	12.392371	44.749862	-72.188348	-10.286000
0.100000	13.751301	44.704538	-72.054189	-11.285000
0.110000	15.100718	44.658960	-71.905144	-12.347667
0.120000	16.439816	44.613128	-71.741322	-13.470667
0.130000	17.767340	44.567042	-71.562677	-14.654667
0.140000	19.082483	44.520702	-71.369090	-15.899000
0.150000	20.383390	44.474108	-71.160520	-17.203667
0.160000	21.668435	44.427260	-70.936519	-18.573333
0.170000	22.936799	44.380158	-70.697356	-20.003667
0.180000	24.209850	44.332803	-70.443533	-21.548000
0.190000	25.445869	44.285193	-70.173761	-23.120000
0.200000	26.645158	44.237329	-69.888657	-24.727000
0.210000	27.856807	44.189212	-69.588094	-26.443667
0.220000	29.034076	44.140840	-69.272004	-28.210667
0.230000	30.181942	44.092215	-68.940446	-30.038333
0.240000	31.326795	44.043335	-68.593309	-31.949000
0.250000	32.419863	43.994202	-68.230756	-33.901667
0.260000	33.502258	43.944814	-67.852440	-35.940667
0.270000	34.556390	43.895173	-67.458938	-38.044667
0.280000	35.584641	43.845278	-67.049857	-40.223333
0.290000	36.603753	43.795129	-66.625136	-42.506000
0.300000	37.556224	43.744725	-66.185499	-44.792333
0.310000	38.498614	43.694068	-65.730386	-47.184667
0.320000	39.427231	43.643157	-65.260007	-49.699000
0.330000	40.274495	43.591992	-64.775104	-52.065667
0.340000	41.034477	43.540573	-64.277548	-53.596000
0.350000	41.756652	43.488900	-63.772832	-53.816333
0.360000	42.590862	43.436973	-63.261979	-55.565667
0.370000	43.443590	43.384793	-62.737607	-58.154667
0.380000	44.254641	43.332358	-62.199327	-60.866333
0.390000	45.021888	43.279669	-61.647359	-63.668000
0.400000	45.794934	43.226726	-61.084262	-66.383333
0.410000	46.708157	43.173530	-60.510884	-67.951000
0.420000	47.427606	43.120079	-59.932333	-70.214000
0.430000	48.122547	43.066375	-59.342941	-72.942333
0.440000	49.379824	43.012416	-58.747784	-74.378333
0.450000	52.549194	42.958204	-58.154996	-77.005333
0.460000	53.407631	42.903737	-57.557537	-79.917333
0.470000	53.816627	42.849017	-56.953944	-80.609000
0.480000	54.167457	42.794043	-56.367418	-78.411000
0.490000	56.237108	42.738815	-55.795474	-80.506667
0.500000	58.797156	42.683332	-55.225619	-83.008667
0.510000	-105.434648	42.627596	-54.647204	-110.302333
# Energy Storage Capacity at max strain 0.5000 is 1.837 MJ/L or 144.414 Wh/Kg, Thickness 0.0 Å 
# Energy Storage Capacity at max strain 0.5000 is 1.837 MJ/L or 144.414 Wh/Kg 
# Estimated Stiffness (E) is 138.023137 GPa
# Estimated Yield strength using 0.002 offset is 19.082483 GPa
# Estimated Resilience is 1.335774 J/m^3
# Estimated Toughness is 15.267013 J/m^3
# Estimated Ductility(%) is 50.000 %
# Estimated Ductility Index(%) is 257.143 %
# Shear ultimate strength: 58.797156 GPa
