# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	0.568575	45.273835	-72.752121	-2.756000
0.015000	1.845275	45.337576	-72.743989	-2.150667
0.020000	3.116951	45.401318	-72.731931	-1.557000
0.030000	5.639943	45.528801	-72.696068	-0.406333
0.040000	8.136100	45.656284	-72.645056	0.693333
0.050000	10.602442	45.783768	-72.579163	1.742000
0.060000	13.035617	45.911251	-72.498682	2.734333
0.070000	15.433135	46.038734	-72.403995	3.670333
0.080000	17.794370	46.166217	-72.295652	4.550333
0.090000	20.115937	46.293700	-72.173878	5.370667
0.100000	22.382511	46.421184	-72.043204	6.089333
0.110000	24.604580	46.548667	-71.896885	6.778667
0.120000	26.773145	46.676150	-71.738635	7.400000
0.130000	28.881186	46.803633	-71.568900	7.949333
0.140000	30.923939	46.931116	-71.388120	8.421667
0.150000	32.892986	47.058600	-71.196868	8.812667
0.160000	34.782652	47.186083	-70.995818	9.117667
0.170000	36.583173	47.313566	-70.785493	9.330667
0.180000	38.280318	47.441049	-70.566361	9.439000
0.190000	39.855699	47.568532	-70.342902	9.557667
0.200000	41.293170	47.696016	-70.110023	9.452667
0.210000	42.564433	47.823499	-69.871565	9.203667
0.220000	43.627826	47.950982	-69.628675	8.777333
0.230000	44.398306	48.078465	-69.382849	8.112667
0.240000	44.762834	48.205948	-69.136274	7.103667
0.250000	44.382288	48.333432	-68.892389	5.477000
0.260000	42.264171	48.460915	-68.658488	2.412667
0.270000	-3.037997	48.588398	-69.169898	-29.304667
# Energy Storage Capacity at max strain 0.2400 is 0.671 MJ/L or 52.773 Wh/Kg, Thickness 0.0 Å 
# Estimated Stiffness (E) is 250.916151 GPa
# Estimated Yield strength using 0.002 offset is 5.639943 GPa
# Estimated Resilience is 0.084599 J/m^3
# Estimated Toughness is 6.922812 J/m^3
# Estimated Ductility(%) is 24.000 %
# Estimated Ductility Index(%) is 700.000 %
# indent_strength ultimate strength: 44.762834 GPa
