# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	9.222029	22.926871	-36.318348	2.328333
0.015000	13.823935	22.926871	-36.301290	2.287667
0.020000	18.420050	22.926871	-36.283295	2.197000
0.030000	27.530740	22.926871	-36.217528	2.003000
0.040000	36.521054	22.926871	-36.125950	1.732000
0.050000	45.350886	22.926871	-36.008956	1.379000
0.060000	53.971298	22.926871	-35.866994	0.940333
0.070000	62.338671	22.926871	-35.700870	0.415000
0.080000	70.409086	22.926871	-35.511134	-0.207000
0.090000	78.127224	22.926871	-35.298981	-0.927667
0.100000	85.446537	22.926871	-35.065738	-1.743333
0.110000	92.289303	22.926871	-34.812137	-2.685333
0.120000	98.594380	22.926871	-34.539978	-3.753000
0.130000	104.269868	22.926871	-34.250832	-4.968000
0.140000	109.209175	22.926871	-33.946654	-6.349667
0.150000	113.212747	22.926871	-33.630305	-7.890333
0.160000	116.134999	22.926871	-33.303885	-9.710000
0.170000	117.567453	22.926871	-32.971216	-11.905000
0.180000	116.419195	22.926871	-32.637904	-14.948667
0.190000	105.610034	22.926871	-32.316097	-21.596667
0.200000	-68.032582	22.926871	-34.797663	-3.941000
# Energy Storage Capacity at max strain 0.16999999999999998 is 2.498 MJ/L or 199.434 Wh/Kg, Thickness 0.0 Å 
# Estimated Stiffness (E) is 903.915708 GPa
# Estimated Yield strength using 0.002 offset is 70.409086 GPa
# Estimated Resilience is 2.816363 J/m^3
# Estimated Toughness is 14.032301 J/m^3
# Estimated Ductility(%) is 17.000 %
# Estimated Ductility(%) is 112.500 %
# Shear ultimate strength: 117.567453 GPa
