# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	15.002666	23.387701	-36.307773	10.414667
0.015000	20.469730	23.619836	-36.282890	14.145000
0.020000	25.674329	23.853117	-36.250122	17.694667
0.030000	35.322718	24.323118	-36.161794	24.262333
0.040000	44.006039	24.797704	-36.044946	30.150667
0.050000	51.792795	25.276876	-35.901919	35.409000
0.060000	58.749336	25.760633	-35.735158	40.091667
0.070000	64.944137	26.248975	-35.546052	44.225667
0.080000	70.433079	26.741903	-35.336958	47.856000
0.090000	75.263113	27.239416	-35.109387	51.016000
0.100000	79.479704	27.741514	-34.864931	53.737667
0.110000	83.131846	28.248198	-34.605287	56.057000
0.120000	86.260982	28.759467	-34.331985	58.005000
0.130000	88.906431	29.275322	-34.046598	59.609000
0.140000	91.109198	29.795762	-33.750335	60.898667
0.150000	92.896447	30.320787	-33.444411	61.894667
0.160000	94.297122	30.850398	-33.130027	62.619667
0.170000	95.345581	31.384594	-32.808546	63.099000
0.180000	96.061124	31.923376	-32.480891	63.347333
0.190000	96.474363	32.466742	-32.148343	63.388667
0.200000	96.603935	33.014695	-31.811744	63.237333
0.210000	96.470140	33.567232	-31.472132	62.909000
0.220000	96.089833	34.124355	-31.130273	62.416667
0.230000	95.484248	34.686064	-30.787311	61.778333
0.240000	94.659518	35.252357	-30.443913	61.002000
0.250000	93.637842	35.823236	-30.100827	60.098333
# Energy Storage Capacity at max strain 0.19999999999999998 is 2.415 MJ/L or 192.792 Wh/Kg, Thickness 0.0 Å 
# Estimated Stiffness (E) is 920.205821 GPa
# Estimated Yield strength using 0.002 offset is 70.433079 GPa
# Estimated Resilience is 2.817323 J/m^3
# Estimated Toughness is 17.696932 J/m^3
# Estimated Ductility(%) is 20.000 %
# Estimated Ductility(%) is 150.000 %
# Tensile_biaxial ultimate strength: 96.603935 GPa
