# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	15.327292	23.156140	-36.319149	6.440333
0.015000	20.674310	23.270774	-36.306812	8.385667
0.020000	25.838959	23.385409	-36.290515	10.263000
0.030000	35.675868	23.614677	-36.247139	13.837667
0.040000	44.849421	23.843946	-36.189767	17.162000
0.050000	53.389468	24.073215	-36.119631	20.252333
0.060000	61.322999	24.302484	-36.037674	23.118667
0.070000	68.672190	24.531752	-35.944625	25.764000
0.080000	75.461790	24.761021	-35.841356	28.197667
0.090000	81.716510	24.990290	-35.728583	30.428667
0.100000	87.428109	25.219558	-35.615892	32.561667
0.110000	92.646212	25.448827	-35.487411	34.423333
0.120000	97.388717	25.678096	-35.351992	36.113000
0.130000	101.673918	25.907365	-35.210137	37.631000
0.140000	105.517598	26.136633	-35.062424	38.985000
0.150000	108.938134	26.365902	-34.909485	40.182000
0.160000	111.951133	26.595171	-34.751796	41.226333
0.170000	114.577870	26.824439	-34.589983	42.128000
0.180000	116.835991	27.053708	-34.424794	42.894667
0.190000	118.750478	27.282977	-34.256584	43.532333
0.200000	120.312307	27.512246	-34.085789	44.040667
0.210000	121.546585	27.741514	-33.912997	44.429333
0.220000	122.467551	27.970783	-33.738694	44.703333
0.230000	123.081099	28.200052	-33.563268	44.863667
0.240000	123.350954	28.429320	-33.389278	44.969333
0.250000	123.338869	28.658589	-33.213309	44.913333
0.260000	123.036245	28.887858	-33.037580	44.747667
0.270000	122.429675	29.117127	-32.862432	44.469667
0.280000	121.501521	29.346395	-32.688445	44.074333
0.290000	120.236469	29.575664	-32.515978	43.551000
# Energy Storage Capacity at max strain 0.24 is 3.701 MJ/L or 295.405 Wh/Kg, Thickness 0.0 Å 
# Estimated Stiffness (E) is 922.204060 GPa
# Estimated Yield strength using 0.002 offset is 81.716510 GPa
# Estimated Resilience is 3.677243 J/m^3
# Estimated Toughness is 25.506586 J/m^3
# Estimated Ductility(%) is 24.000 %
# Estimated Ductility(%) is 166.667 %
# Tensile_x ultimate strength: 123.350954 GPa
