# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	13.639650	23.156140	-36.321410	6.466000
0.015000	19.051228	23.270774	-36.310122	8.418333
0.020000	24.302487	23.385409	-36.295164	10.310000
0.030000	34.302978	23.614677	-36.253841	13.888333
0.040000	43.661214	23.843946	-36.198581	17.209000
0.050000	52.387874	24.073215	-36.130317	20.280333
0.060000	60.424811	24.302484	-36.054693	23.150667
0.070000	67.814558	24.531752	-35.963497	25.734000
0.080000	74.536525	24.761021	-35.862273	28.072667
0.090000	80.562414	24.990290	-35.751731	30.154333
0.100000	85.866034	25.219558	-35.632938	31.972667
0.110000	90.414852	25.448827	-35.506858	33.518000
0.120000	94.054098	25.678096	-35.376526	34.769000
0.130000	96.741518	25.907365	-35.240503	35.707333
0.140000	98.249097	26.136633	-35.101412	36.267000
0.150000	98.098557	26.365902	-34.961419	36.329000
0.160000	94.568339	26.595171	-34.823456	35.532000
0.170000	-48.671452	26.824439	-36.029577	-14.882000
# Energy Storage Capacity at max strain 0.13999999999999999 is 1.719 MJ/L or 137.253 Wh/Kg, Thickness 0.0 Å 
# Estimated Stiffness (E) is 969.386870 GPa
# Estimated Yield strength using 0.002 offset is 74.536525 GPa
# Estimated Resilience is 2.981461 J/m^3
# Estimated Toughness is 10.555611 J/m^3
# Estimated Ductility(%) is 14.000 %
# Estimated Ductility(%) is 75.000 %
# Tensile_y ultimate strength: 98.249097 GPa
