# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0    
0.010000	4.630763	22.926871	23.520000
0.020000	9.258227	22.926871	23.253333
0.030000	13.880455	22.926871	22.823333
0.040000	18.500037	22.926871	21.900000
0.050000	23.095547	22.926871	20.980000
0.060000	27.670180	22.926871	19.830000
0.070000	32.219439	22.926871	18.513333
0.080000	36.744175	22.926871	16.953333
0.090000	41.234959	22.926871	15.163333
0.100000	45.685806	22.926871	13.136667
0.110000	50.096322	22.926871	10.863333
0.120000	54.456614	22.926871	8.360000
0.130000	58.765591	22.926871	5.566667
0.140000	63.017014	22.926871	2.480000
0.150000	67.207594	22.926871	0.870000
0.160000	71.327894	22.926871	4.566667
0.170000	75.371656	22.926871	8.556667
0.180000	79.333319	22.926871	12.913333
0.190000	83.203057	22.926871	17.670000
0.200000	86.980165	22.926871	22.770000
0.210000	90.644562	22.926871	28.343333
0.220000	94.189871	22.926871	34.450000
0.230000	97.606740	22.926871	41.070000
0.240000	100.879641	22.926871	48.233333
0.250000	103.992953	22.926871	56.110000
0.260000	106.930760	22.926871	64.693333
0.270000	109.671709	22.926871	74.063333
0.280000	112.196583	22.926871	84.323333
0.290000	114.477171	22.926871	95.563333
0.300000	116.482898	22.926871	107.970000
0.310000	118.176990	22.926871	121.706667
0.320000	119.516491	22.926871	137.040000
0.330000	120.442810	22.926871	154.256667
0.340000	120.867608	22.926871	173.843333
0.350000	120.699195	22.926871	196.536667
0.360000	119.507282	22.926871	224.080000
0.370000	116.696849	22.926871	261.493333
0.380000	105.449668	22.926871	348.243333
0.390000	-8.936332	22.926871	171.346667
# Estimated yield strength: 4.203596 GPa # ideal_strength ultimate strength: 120.867608 GPa
