# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0	0.0    
0.010000	4.630763	22.926871	-36.328569	2.352000
0.015000	6.944714	22.926871	-36.324251	2.340333
0.020000	9.258227	22.926871	-36.318261	2.325333
0.030000	13.880455	22.926871	-36.301126	2.282333
0.040000	18.500037	22.926871	-36.283007	2.190000
0.050000	23.095547	22.926871	-36.253212	2.098000
0.060000	27.670180	22.926871	-36.216735	1.983000
0.070000	32.219439	22.926871	-36.173899	1.851333
0.080000	36.744175	22.926871	-36.124518	1.695333
0.090000	41.234959	22.926871	-36.068676	1.516333
0.100000	45.685806	22.926871	-36.006391	1.313667
0.110000	50.096322	22.926871	-35.937804	1.086333
0.120000	54.456614	22.926871	-35.863028	0.836000
0.130000	58.765591	22.926871	-35.781920	0.556667
0.140000	63.017014	22.926871	-35.694641	0.248000
0.150000	67.207594	22.926871	-35.601433	-0.087000
0.160000	71.327894	22.926871	-35.502103	-0.456667
0.170000	75.371656	22.926871	-35.397129	-0.855667
0.180000	79.333319	22.926871	-35.286388	-1.291333
0.190000	83.203057	22.926871	-35.169942	-1.767000
0.200000	86.980165	22.926871	-35.048333	-2.277000
0.210000	90.644562	22.926871	-34.921275	-2.834333
0.220000	94.189871	22.926871	-34.788926	-3.445000
0.230000	97.606740	22.926871	-34.651615	-4.107000
0.240000	100.879641	22.926871	-34.509649	-4.823333
0.250000	103.992953	22.926871	-34.362957	-5.611000
0.260000	106.930760	22.926871	-34.211905	-6.469333
0.270000	109.671709	22.926871	-34.056840	-7.406333
0.280000	112.196583	22.926871	-33.897994	-8.432333
0.290000	114.477171	22.926871	-33.735796	-9.556333
0.300000	116.482898	22.926871	-33.570437	-10.797000
0.310000	118.176990	22.926871	-33.402548	-12.170667
0.320000	119.516491	22.926871	-33.232397	-13.704000
0.330000	120.442810	22.926871	-33.060695	-15.425667
0.340000	120.867608	22.926871	-32.888001	-17.384333
0.350000	120.699195	22.926871	-32.714963	-19.653667
0.360000	119.507282	22.926871	-32.543319	-22.408000
0.370000	116.696849	22.926871	-32.374097	-26.149333
0.380000	105.449668	22.926871	-32.212724	-34.824333
0.390000	-8.936332	22.926871	-33.094551	-17.134667
# Energy Storage Capacity at max strain 0.34 is 5.137 MJ/L or 410.065 Wh/Kg, Thickness 0.0 Å 
# Estimated Stiffness (E) is 461.012999 GPa
# Estimated Yield strength using 0.002 offset is 54.456614 GPa
# Estimated Resilience is 3.267397 J/m^3
# Estimated Toughness is 28.760685 J/m^3
# Estimated Ductility(%) is 34.000 %
# Estimated Ductility(%) is 183.333 %
# indent_strength ultimate strength: 120.867608 GPa
