#Strain	Work Hardening Rate
0.01	462.7901205000001
0.015	462.74639940000003
0.02	462.3827524999999
0.03	462.090494075
0.04	460.75459600000005
0.05	458.507150375
0.06	456.19460717499993
0.07	453.69974505000005
0.08	450.77599812499994
0.09000000000000001	447.0815729999997
0.1	443.0681310000003
0.11	438.5403676250003
0.12000000000000001	433.4634451499997
0.13	428.01998767500015
0.13999999999999999	422.10015702500016
0.15	415.5440217999999
0.16	408.2031251750012
0.16999999999999998	400.271253725
0.18	391.5700206249991
0.19	382.342312675001
0.19999999999999998	372.0752695750003
0.21	360.4852904749994
0.22	348.10891332499966
0.22999999999999998	334.4884845000004
0.24	319.310627725
0.25	302.5559523249993
0.26	283.93781740000014
0.27	263.29117422499996
0.28	240.27309809999954
0.29000000000000004	214.31573505000026
0.30000000000000004	184.99094364999954
0.31	151.67963424999968
0.32	113.29101782500207
0.33	67.55587305000071
0.34	12.819224249999184
0.35000000000000003	-68.01630660000052
0.36000000000000004	-200.11729272500088
0.37000000000000005	-702.8806974000018
0.38	-1124.718096650005
