Component: #Tensile_y
Strain, Stress, Mean Volume, Mean Energy, Mean External Pressure 
0.0, 0.0, 0.0, 0.0 0.0 
0.01, None, None, None, None
0.015, None, None, None, None
0.02, None, None, None, None
0.03, None, None, None, None
0.04, None, None, None, None
0.05, None, None, None, None
0.06, None, None, None, None
0.07, None, None, None, None
0.08, None, None, None, None
0.09000000000000001, None, None, None, None
0.1, None, None, None, None
0.11, None, None, None, None
0.12000000000000001, None, None, None, None
0.13, None, None, None, None
0.13999999999999999, None, None, None, None
0.15, None, None, None, None
0.16, None, None, None, None
0.16999999999999998, None, None, None, None
0.18, None, None, None, None
0.19, None, None, None, None
0.19999999999999998, None, None, None, None
0.21, None, None, None, None
0.22, None, None, None, None
0.22999999999999998, None, None, None, None
0.24, None, None, None, None
0.25, None, None, None, None
0.26, None, None, None, None
0.27, None, None, None, None
0.28, None, None, None, None
0.29000000000000004, None, None, None, None
0.30000000000000004, None, None, None, None
0.31, None, None, None, None
0.32, None, None, None, None
0.33, None, None, None, None
0.34, None, None, None, None
0.35000000000000003, None, None, None, None
0.36000000000000004, None, None, None, None
0.37000000000000005, None, None, None, None
0.38, None, None, None, None
0.39, None, None, None, None
0.4, None, None, None, None
0.41000000000000003, None, None, None, None
0.42000000000000004, None, None, None, None
0.43000000000000005, None, None, None, None
0.44, None, None, None, None
0.45, None, None, None, None
0.46, None, None, None, None
0.47000000000000003, None, None, None, None
0.48000000000000004, None, None, None, None
0.49000000000000005, None, None, None, None
0.5, None, None, None, None
0.51, None, None, None, None
0.52, None, None, None, None
0.53, None, None, None, None
0.54, None, None, None, None
0.55, None, None, None, None
0.56, None, None, None, None
0.5700000000000001, None, None, None, None
0.5800000000000001, None, None, None, None
0.5900000000000001, None, None, None, None
0.6, None, None, None, None
0.61, None, None, None, None
0.62, None, None, None, None
0.63, None, None, None, None
0.64, None, None, None, None
0.65, None, None, None, None
0.66, None, None, None, None
0.67, None, None, None, None
0.68, None, None, None, None
0.6900000000000001, None, None, None, None
0.7000000000000001, None, None, None, None
0.7100000000000001, None, None, None, None
0.7200000000000001, None, None, None, None
0.73, None, None, None, None
0.74, None, None, None, None
0.75, None, None, None, None
0.76, None, None, None, None
0.77, None, None, None, None
0.78, None, None, None, None
0.79, None, None, None, None
0.8, None, None, None, None

