#Internal Pressure(GPa)	Enthalpy(eV)	Strain	Stress
-inf	-inf	0.01	4.6307632285
-inf	-inf	0.015	6.9447138310000005
-inf	-inf	0.02	9.2582272225
-inf	-inf	0.03	13.880455118499999
-inf	-inf	0.04	18.500037104
-inf	-inf	0.05	23.0955470385
-inf	-inf	0.06	27.6701801115
-inf	-inf	0.07	32.219439182
-inf	-inf	0.08	36.7441750125
-inf	-inf	0.09000000000000001	41.2349591445
-inf	-inf	0.1	45.6858064725
-inf	-inf	0.11	50.096321764500004
-inf	-inf	0.12000000000000001	54.456613825000005
-inf	-inf	0.13	58.7655906675
-inf	-inf	0.13999999999999999	63.0170135785
-inf	-inf	0.15	67.207593808
-inf	-inf	0.16	71.3278940145
-inf	-inf	0.16999999999999998	75.37165631150002
-inf	-inf	0.18	79.333319089
-inf	-inf	0.19	83.203056724
-inf	-inf	0.19999999999999998	86.98016534250002
-inf	-inf	0.21	90.64456211550001
-inf	-inf	0.22	94.18987115200001
-inf	-inf	0.22999999999999998	97.606740382
-inf	-inf	0.24	100.87964084200001
-inf	-inf	0.25	103.9929529365
-inf	-inf	0.26	106.9307598885
-inf	-inf	0.27	109.67170928450001
-inf	-inf	0.28	112.19658337300001
-inf	-inf	0.29000000000000004	114.4771712465
-inf	-inf	0.30000000000000004	116.48289807400002
-inf	-inf	0.31	118.17699011949999
-inf	-inf	0.32	119.516490759
-inf	-inf	0.33	120.44281047600003
-inf	-inf	0.34	120.86760822000002
-inf	-inf	0.35000000000000003	120.69919496100002
-inf	-inf	0.36000000000000004	119.50728208800001
-inf	-inf	0.37000000000000005	116.6968491065
-inf	-inf	0.38	105.44966814
